ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.6826,1.8682,6.3673,-1.0919,0.7972,9.713,0.6745,0.3371,-1.3459,0.1471,-0.0039,-0.0118,18153.99,3.41,17.12,-35.76,3,-4.66,6.41,5,986.65,20.429,46.16784,15.859848,908.82,NaN,,4.61,12.226105,56.9,17 / 27,7,2022-07-23 15:50:51:012
-1.9382,2.0949,3.0209,-2.1739,1.1143,9.4975,0.9307,1.0551,-2.0383,-0.0737,0.4341,0.1142,17894.994,0.26,15.66,-35.64,17.54,-3.99,9.32,5,986.65,26.815,46.16785,15.85986,909.31,NaN,,6.23,12.226105,36,17 / 27,507,2022-07-23 15:50:51:512
0.8303,0.2865,6.5192,-0.3719,-0.0317,9.7995,1.3587,-0.0914,-1.5265,0.5114,-0.1851,0.3187,19818,-0.54,17.91,-34.87,7.41,0.19,2.17,5,986.73,18.682,46.16785,15.85986,909.31,NaN,,6.23,12.226105,36,17 / 27,1007,2022-07-23 15:50:52:012
-2.3252,1.2395,6.4247,0.2401,0.9103,9.7614,0.1576,0.8411,-2.8036,0.1326,-0.3578,0.0525,20322.969,-5.44,19.31,-32.61,9.22,0.47,-3.39,5,986.68,44.411,46.167866,15.85988,910.11,NaN,,5.11,12.226105,43.4,17 / 27,1507,2022-07-23 15:50:52:512
-0.1513,0.5396,6.792,-0.7209,0.3751,9.7729,-0.2004,-1.5084,2.4365,0.2627,-0.3874,0.16,55406.97,-6.64,15.54,-33.3,28.64,-2.19,4.22,5,986.73,36.601,46.167866,15.85988,910.11,NaN,,5.11,12.226105,43.4,17 / 27,2006,2022-07-23 15:50:53:011
-0.7394,1.7025,5.1763,0.7331,0.299,9.7746,-0.7187,0.5167,-2.0826,0.5449,-0.2851,0.4527,19863.969,-10.24,16.73,-33.37,29.8,1.54,-1.35,5,986.64,37.262,46.16788,15.859892,911.37,NaN,,6.12,12.226105,43,13 / 13,2507,2022-07-23 15:50:53:512
-0.061,1.0798,4.0983,-0.2305,0.5443,9.7888,0.3608,-0.0822,-3.6098,0.1723,-0.1619,0.2721,80962,-8.16,19.39,-34.31,29.26,0,4.5,5,986.81,32.751,46.16788,15.859892,911.37,NaN,,6.12,12.226105,43,13 / 13,3007,2022-07-23 15:50:54:012
-0.7388,1.9932,5.0237,-0.8341,-0.183,9.7694,-0.4294,0.8085,2.8044,-0.0206,-0.0622,0.0836,19127.004,-6.06,18.75,-36.73,16.68,-5,0.99,5,986.64,45.781,46.16789,15.859905,911.15,NaN,,6.16,12.226105,39,13 / 13,3507,2022-07-23 15:50:54:512
-0.0239,0.923,5.0847,-1.4555,0.4696,9.6867,1.0915,-0.6269,0.7323,0.2684,-0.1652,0.4643,80930.01,-5.42,19.18,-37.18,26.77,-2.74,8.55,5,986.73,34.537,46.16789,15.859905,911.15,NaN,,6.16,12.226105,39,13 / 13,4007,2022-07-23 15:50:55:012
-0.935,1.8999,5.1553,0.1225,0.8694,9.7673,-0.0924,0.9237,-0.0954,0.3506,-0.272,0.1672,19307.97,-3.94,17.87,-38.08,14.46,-4.7,2.15,5,986.69,28.255,46.167896,15.859916,905.75,NaN,,4.39,12.226105,48.8,13 / 13,4507,2022-07-23 15:50:55:512
-0.6598,1.0744,6.7029,-1.0107,0.039,9.7544,1.0903,1.0669,-2.6097,-0.4737,-0.191,0.2735,81680,-4.29,18.58,-37.46,16.34,-5.57,4.02,5,986.82,21.449,46.167896,15.859916,905.75,NaN,,4.39,12.226105,48.8,13 / 13,5007,2022-07-23 15:50:56:012
-1.1659,1.3155,4.9729,-1.3971,0.4038,9.6982,-1.256,-2.0463,6.0542,-0.3763,0.2099,0.1778,57641.02,-1.76,21.02,-37.61,12.89,-4.44,5.23,5,986.78,26.613,46.167904,15.859925,905.65,NaN,,4.72,12.226105,23.3,10-Oct,5507,2022-07-23 15:50:56:512
0.0072,2.1015,6.7083,-0.8842,1.4158,9.6635,-0.4201,-1.3767,5.165,0.0486,0.3367,0.3525,58430.027,-0.54,18.54,-38.36,6.63,-13.26,3.26,5,986.93,31.203,46.167904,15.859925,905.65,NaN,,4.72,12.226105,23.3,10-Oct,6008,2022-07-23 15:50:57:013
