ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1609,0.8512,8.7344,-0.3837,0.8407,9.763,0.0729,0.1791,-1.1805,0.0428,0.5416,-0.017,3147.9976,13.37,-11.91,-41.81,236.12,-5.31,1.42,5,996.26,35.578,46.16302,15.870663,726.03,NaN,,1.37,38.758213,60.4,0 / 13,13,2022-08-04 11:04:13:226
-1.1874,0.9332,9.8411,-1.2433,1.0785,9.6675,-0.6762,-0.0476,-0.5504,-0.0864,-0.5109,-0.0654,3194.9775,14.81,-16.56,-40.5,218.42,-6.31,7.33,5,996.24,44.308,46.16293,15.870678,770.11,NaN,,2.66,37.138527,60.4,Dec-15,514,2022-08-04 11:04:13:727
-1.8467,-0.1848,8.1906,-0.5902,1.2919,9.7033,0.9564,-1.6578,1.2016,0.7679,0.5641,0.0489,555.9975,13.76,-12.86,-41.49,232.99,-3.84,0.63,5,996.25,43.228,46.16293,15.870678,770.11,NaN,,2.66,37.138527,60.4,14 / 22,1014,2022-08-04 11:04:14:227
0.4642,0.6042,14.3163,0.3328,1.3508,9.7075,-0.405,0.3565,0.4605,-0.431,0.0101,-0.3206,612.9676,14.78,-17.68,-40.95,235.95,-9.76,-1.49,5,996.19,40.797,46.16293,15.870678,770.11,NaN,,2.66,37.138527,60.4,14 / 22,1513,2022-08-04 11:04:14:726
-1.282,2.5687,10.2838,-0.7226,1.823,9.6086,0.1847,1.2591,0.4117,-0.1723,0.6428,-0.0905,553.9726,13.84,-19.14,-40.69,229.65,-10.84,1.66,5,996.23,37.701,46.16296,15.870793,717.77,NaN,,2.92,35.02009,208.9,0 / 26,2013,2022-08-04 11:04:15:226
0.1466,0.9805,10.9029,0.3246,1.3158,9.7126,-0.6723,-0.1803,-1.8214,0.0221,-0.2814,-0.1685,526.9726,16.41,-18.83,-39.99,225.74,-7.31,2.81,5,996.21,41.511,46.16296,15.870793,717.77,NaN,,2.92,35.02009,208.9,0 / 26,2515,2022-08-04 11:04:15:728
-0.3027,2.4951,9.7119,0.0573,1.3833,9.7084,0.6106,-0.3702,-1.9053,0.1491,0.5146,-0.2531,764.9776,12.15,-17.23,-42.21,231.19,-7.85,-2.62,5,996.2,43.915,46.16296,15.870793,717.77,NaN,,2.92,35.02009,208.9,19 / 26,3013,2022-08-04 11:04:16:226
0.1364,2.2451,6.8554,-0.2505,1.6971,9.6554,0.6459,-0.7273,-1.1409,0.29,0.2806,0.2545,482.0175,14.63,-17.27,-40.2,232.22,-8.34,1.21,5,996.22,39.404,46.16296,15.870793,717.77,NaN,,2.92,35.02009,208.9,19 / 26,3513,2022-08-04 11:04:16:726
0.8339,0.6383,8.2271,-0.0474,1.1043,9.7442,0.0717,-0.763,3.3443,-0.2909,0.3849,-0.137,487.0125,12.71,-17.59,-41.06,223.99,-6.47,0.28,5,996.23,34.942,46.16296,15.870779,716.65,NaN,,5.18,24.192568,241.7,19 / 26,4013,2022-08-04 11:04:17:226
-0.5701,-1.3262,11.0518,-0.138,0.066,9.8055,-0.3031,0.0743,1.4609,0.1766,-0.2269,0.493,516.9826,15.68,-11.36,-42.45,235.18,-0.39,0.81,5,996.21,34.669,46.16296,15.870779,716.65,NaN,,5.18,24.192568,241.7,19 / 26,4514,2022-08-04 11:04:17:727
1.465,1.6116,12.2489,-0.1826,1.6522,9.6648,-0.3173,-0.5233,0.1802,0.4352,0.3793,0.5409,538.9876,12.75,-12.11,-43.2,243.15,-6.72,-0.87,5,996.26,34.918,46.16296,15.870768,721.73,NaN,,4.25,19.201277,233.7,19 / 26,5013,2022-08-04 11:04:18:226
-0.9033,1.011,10.7856,-0.3454,1.3192,9.7114,-0.5525,0.3973,1.2125,-0.0904,0.0955,0.0564,753.0301,12.04,-19.71,-39.75,220.69,-7.91,-0.45,5,996.23,38.984,46.16296,15.870768,721.73,NaN,,4.25,19.201277,233.7,19 / 26,5513,2022-08-04 11:04:18:726
0.4582,2.2875,10.5188,-0.3043,1.6667,9.6592,0.3135,0.2458,-2.7192,-0.0192,-0.205,-0.1914,589.005,8.94,-19.54,-40.28,211.02,-9.79,1.8,5,996.22,47.496,46.162952,15.870756,720.93,NaN,,4.25,15.952933,232,19 / 26,6013,2022-08-04 11:04:19:226
-0.058,3.2058,6.39,-0.1461,1.8531,9.6289,0.579,0.0262,-2.1452,0.1781,0.1404,-0.0763,575.9776,-4.76,-25.05,-40.48,163.29,-9.3,0.67,5,996.24,37.611,46.162952,15.870756,720.93,NaN,,4.25,15.952933,232,19 / 26,6514,2022-08-04 11:04:19:727
-0.4618,1.0726,7.5003,-0.4381,1.4608,9.6873,0.2496,-0.651,-0.9888,0.2346,0.1953,0.3167,624.9826,1.5,-22.46,-40.82,178.77,-7.37,3.29,5,996.25,45.517,46.16295,15.870746,724.83,NaN,,4.93,14.347286,230.7,19 / 26,7013,2022-08-04 11:04:20:226
0.8315,2.1655,6.7549,0.288,1.317,9.7135,0.2161,-0.9866,-1.1114,0.1934,-0.0816,-0.3409,724.005,8.63,-20.16,-41.06,213.29,-7.38,-0.81,5,996.26,45.011,46.16295,15.870746,724.83,NaN,,4.93,14.347286,230.7,19 / 26,7513,2022-08-04 11:04:20:726
-0.2596,-0.2297,10.1701,0.0699,1.1578,9.7378,0.0263,-0.3198,3.4492,-0.1265,-0.5798,0.2553,785.9701,10.84,-17.06,-41.89,223.45,-6.78,-0.41,5,996.2,39.209,46.162945,15.870736,723.17,NaN,,4.5,13.624525,227.9,18 / 26,8014,2022-08-04 11:04:21:227
0.0927,-0.4319,10.7312,0.6772,1.2335,9.7052,0.3439,0.1988,1.8836,0.0803,-0.3862,-0.4682,872.0325,10.5,-17.98,-42.54,228.04,-7.23,-3.99,5,996.27,42.209,46.162945,15.870736,723.17,NaN,,4.5,13.624525,227.9,18 / 26,8513,2022-08-04 11:04:21:726
1.7133,1.4536,15.1591,0.0592,1.076,9.7473,-1.0311,0.7013,0.6742,-1.128,0.239,1.2428,935.01,12.26,-17.29,-43.27,234.45,-10.68,-0.32,5,996.27,48.635,46.162937,15.870725,723.12,NaN,,4.36,12.715439,227.5,18 / 26,9013,2022-08-04 11:04:22:226
0.9081,-0.1029,9.9703,0.3217,0.8714,9.7626,1.4153,0.4024,2.3709,-0.1719,0.9263,-0.2401,1049.0176,3.66,-16.8,-43.84,213.58,-6.65,-5.06,5,996.26,38.133,46.162937,15.870725,723.12,NaN,,4.36,12.715439,227.5,18 / 26,9513,2022-08-04 11:04:22:726
-0.5515,1.0642,7.2646,0.3996,0.7019,9.7733,-0.4015,0.5128,-2.9902,-0.6476,-0.0628,0.3041,1218.9825,1.56,-14.04,-43.12,199.02,-4.1,-2.34,5,996.25,44.187,46.162937,15.870715,718.92,NaN,,4.64,13.445787,225.2,18 / 26,10013,2022-08-04 11:04:23:226
2.141,0.9153,9.5868,0.4377,-0.2056,9.7947,-0.8117,-0.3672,-1.9126,0.2149,0.1407,0.9246,1390.0276,3.81,-11.16,-44.49,206.57,1.2,-2.56,5,996.23,34.199,46.162937,15.870715,718.92,NaN,,4.64,13.445787,225.2,18 / 26,10513,2022-08-04 11:04:23:726
0.92,0.1388,9.3308,0.9798,0.2422,9.7546,-0.5439,0.6532,-1.6381,-0.1869,-0.3319,0.001,3872.0027,2.57,-13.05,-42.28,205.07,-1.96,-3.29,5,996.27,39.572,46.16293,15.870702,724.66,NaN,,4.72,14.336568,227.9,18 / 26,11013,2022-08-04 11:04:24:226
0.5145,0.6437,9.3117,0.3623,0.0112,9.7999,-0.7296,1.0186,-0.922,0.0717,-0.3104,0.185,28861.986,2.03,-11.33,-43.33,193.96,-0.27,-0.91,5,996.27,48.35,46.16293,15.870702,724.66,NaN,,4.72,14.336568,227.9,18 / 26,11513,2022-08-04 11:04:24:726
0.1914,0.5928,7.8939,0.1472,-0.1404,9.8045,0.6303,-0.5099,0.182,-0.1058,-0.1036,-0.0967,1622.9701,4.01,-9.15,-43.78,205.83,0.82,-0.86,5,996.24,49.954,46.16292,15.87069,724.94,NaN,,4.46,13.080555,227.6,19 / 26,12013,2022-08-04 11:04:25:226
0.6508,-1.4094,8.6686,0.5531,-0.4209,9.782,-0.1005,-0.7014,0.058,-0.0779,-0.5202,0.1946,1513.0126,5.68,-7.73,-43.97,220.67,2.46,-3.24,5,996.25,50.09,46.16292,15.87069,724.94,NaN,,4.46,13.080555,227.6,19 / 26,12513,2022-08-04 11:04:25:726
1.1408,-1.395,10.2054,0.8545,-0.193,9.7674,0.4194,-0.3391,1.4534,0.2709,0.4896,-0.1836,1800.9677,0.99,-8.42,-44.36,212.15,1.67,-6.3,5,996.25,58.483,46.16291,15.870678,727.83,NaN,,4.36,13.032815,229.4,20 / 26,13014,2022-08-04 11:04:26:227
0.3739,-0.1286,9.0168,0.8954,-0.6873,9.7415,0.0989,-0.4419,1.5986,-0.2581,0.2623,0.744,2144.0027,1.88,-8.14,-44.51,211.38,2.51,-5.2,5,996.27,49.378,46.16291,15.870678,727.83,NaN,,4.36,13.032815,229.4,20 / 26,13514,2022-08-04 11:04:26:727
