ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.061,0.7472,10.2963,-0.0263,1.2032,9.7325,0.8222,-0.5434,1.794,0.3241,0.2728,-0.6183,56.025,14.21,10.61,-39.34,318.5,-7.05,0.15,5,997.33,21.137,46.162655,15.870597,722.99,NaN,,4.54,12.226105,322.4,20 / 24,4,2022-07-16 20:55:05:891
-3.6449,1.6331,13.2993,-1.4461,2.6228,9.3381,-0.5951,0.4926,0.9126,0.9193,0.3549,0.0371,41.985,14.25,9.79,-42.6,329.51,-10.1,4.82,5,997.32,21.33,46.162655,15.870597,722.99,NaN,,4.54,12.226105,322.4,20 / 24,504,2022-07-16 20:55:06:391
0.1095,2.7051,10.2018,-0.4287,1.2318,9.7195,-0.7493,0.7473,-0.2378,-0.2391,-1.0488,0.1489,38.0025,19.05,8.12,-39.84,319.43,-9.49,8.68,5,997.28,22.337,46.16266,15.870583,724.95,NaN,,4.43,12.226105,319.2,21 / 25,1004,2022-07-16 20:55:06:891
-1.4411,2.7362,10.1533,-0.9663,0.9843,9.7092,0.5277,0.6465,-2.056,0.1562,0.4149,-0.099,40.9725,13.69,14.42,-41.81,328.17,-3.13,5.2,5,997.27,23.709,46.16266,15.870583,724.95,NaN,,4.43,12.226105,319.2,21 / 25,1505,2022-07-16 20:55:07:392
-0.0724,1.9484,7.0822,-0.4283,1.3908,9.6981,0.0214,-1.4172,0.9928,0.6015,-0.8244,0.1742,44.01,14.44,11.25,-41.91,324.37,-8.15,2.53,5,997.31,27.839,46.162666,15.87057,726.72,NaN,,4.5,12.226105,315.8,21 / 25,2004,2022-07-16 20:55:07:891
1.0594,2.1494,7.075,1.3669,2.3356,9.4259,0.2139,-0.0319,-2.4572,0.4213,-0.7185,0.0528,51.03,10.01,7.67,-44.14,319.81,-11.53,-5.1,5,997.4,29.011,46.162666,15.87057,726.72,NaN,,4.5,12.226105,315.8,21 / 25,2505,2022-07-16 20:55:08:392
1.0947,2.4658,6.6317,0.038,2.7173,9.4226,-0.8316,-1.446,0.4411,0.5948,0.6055,0.9375,51.03,8.89,6.02,-44.68,325.47,-15.03,-3.72,5,997.27,19.893,46.16267,15.870557,724.8,NaN,,4.46,12.226105,317.1,21 / 25,3005,2022-07-16 20:55:08:892
-0.3236,-0.9547,12.6556,0.0943,0.1904,9.8044,-0.1645,-0.8692,1.8675,-1.0841,0.242,-1.2631,58.995,14.18,7.48,-42.47,311.26,-7.63,-0.34,5,997.25,33.458,46.16267,15.870557,724.8,NaN,,4.46,12.226105,317.1,21 / 25,3504,2022-07-16 20:55:09:391
-1.6744,0.198,11.7721,-0.0876,1.6186,9.6717,0.705,1.0491,1.7587,0.2929,0.2109,0.0608,60.0075,10.44,14.34,-42.66,335.33,-9.5,0.52,5,997.4,22.259,46.16268,15.870546,724.6,NaN,,4.39,12.226105,323.1,20 / 26,4005,2022-07-16 20:55:09:892
1.1737,1.8676,11.1769,-0.035,2.2752,9.539,0.1121,0.3744,-0.0079,-0.1252,-0.2934,-0.1777,62.9775,14.44,8.7,-42.96,325.89,-12.97,1.92,5,997.21,31.263,46.16268,15.870546,724.6,NaN,,4.39,12.226105,323.1,20 / 26,4505,2022-07-16 20:55:10:392
