ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.3643,-0.5318,13.5278,0.4676,1.8149,9.6259,1.6079,-0.3701,0.4872,0.0994,-0.0383,-0.2693,6540.008,-25.78,8.66,-39.82,56.3,-9.88,-2.94,5,984.7,46.453,46.16775,15.859933,873.54,NaN,,5.87,31.314436,44.8,15 / 23,16,2022-08-21 16:42:56:676
-1.4919,3.3153,11.8445,-1.0881,2.4779,9.4258,-0.6095,0.4823,-2.8568,0.0101,0.0691,0.3422,6924.015,-23.83,5.27,-41.21,63.95,-11.84,3.62,5,984.64,35.149,46.16775,15.859933,873.54,NaN,,5.87,31.314436,44.8,15 / 23,517,2022-08-21 16:42:57:177
-2.184,2.4383,10.0612,0.1788,2.824,9.3895,0.6463,-1.211,-2.5961,1.0616,-0.0499,-7.00E-04,6716.9927,-17.38,5.4,-42.97,53.42,-11.63,1.54,5,984.65,40.261,46.16784,15.859859,856.86,NaN,,3.82,31.913301,48.1,17 / 23,1017,2022-08-21 16:42:57:677
0.92,0.4702,10.9597,0.0249,0.9391,9.7616,-0.9534,0.0334,-4.1771,-0.1723,0.43,0.3341,6784.021,-22.89,11.93,-39.71,52.17,-5.26,-3.82,5,984.65,51.374,46.16784,15.859859,856.86,NaN,,3.82,31.913301,48.1,17 / 23,1516,2022-08-21 16:42:58:176
0.3356,-0.5731,10.5841,0.7103,0.3234,9.7755,0.3686,-0.4144,-1.951,0.6665,-0.5269,-0.1654,7793.0103,-15.58,19.63,-38.79,38.36,1.36,-1.33,5,984.68,45.119,46.16783,15.859878,854.57,NaN,,5.4,22.331879,18.6,19 / 23,2016,2022-08-21 16:42:58:676
-1.0696,0.3829,8.403,0.056,-0.0461,9.8064,-0.0843,2.0538,-5.4264,0.1507,-0.6642,0.5035,7859.97,-20.23,18.24,-38.48,47.99,0.27,-0.33,5,984.67,47.343,46.16783,15.859878,854.57,NaN,,5.4,22.331879,18.6,19 / 23,2517,2022-08-21 16:42:59:177
0.0479,0.0377,5.8253,-0.0349,0.3881,9.7989,-0.418,0.8421,-3.8117,0.3958,-0.3897,0.5209,7422.0303,-17.46,19.95,-37.87,43.36,2.83,0.14,5,984.66,50.39,46.16786,15.859869,842.21,NaN,,4.86,18.239883,14.2,19 / 23,3016,2022-08-21 16:42:59:676
-1.0828,1.0702,9.344,0.1306,1.1142,9.7423,-0.3187,1.2935,-3.5916,0.0644,0.1093,-0.0069,7661.9927,-12.08,16.2,-40.84,32.83,-3.89,0.13,5,984.71,41.605,46.16786,15.859869,842.21,NaN,,4.86,18.239883,14.2,19 / 23,3516,2022-08-21 16:43:00:176
0.5462,1.398,9.4295,0.0031,0.8287,9.7716,-1.4097,0.0803,-2.3669,-0.0018,-0.5025,0.3936,7652.0034,-10.48,15.88,-41.18,34.03,-2.86,3.03,5,984.72,44.337,46.16787,15.859881,846.21,NaN,,5.76,15.680756,6.3,19 / 23,4017,2022-08-21 16:43:00:677
-1.3567,1.7486,6.8824,-0.0938,0.751,9.7774,-0.088,0.5403,-2.1702,0.095,0.1281,0.2831,7215.008,-12.64,16.65,-40.28,37.19,-1.08,0.67,5,984.72,38.789,46.16787,15.859881,846.21,NaN,,5.76,15.680756,6.3,19 / 23,4516,2022-08-21 16:43:01:176
0.1561,1.3663,7.3968,-0.612,0.551,9.772,-0.6051,-0.4421,-0.2079,0.066,-0.0553,0.856,7666.988,-8.04,16.52,-41.23,30.87,-2.7,4.63,5,984.74,44.862,46.167877,15.859885,848.64,NaN,,5.11,13.850411,355,19 / 23,5016,2022-08-21 16:43:01:676
-1.0152,2.0698,5.9761,0.3993,-0.5059,9.7854,-0.8716,2.0591,-2.4792,0.1813,-0.1171,0.1619,7312.0054,-6.26,18.94,-39.24,17.35,6.1,-2.05,5,984.74,37.43,46.167877,15.859885,848.64,NaN,,5.11,13.850411,355,19 / 23,5516,2022-08-21 16:43:02:176
2.0321,-1.4279,7.3819,-0.5754,0.6662,9.7671,0.5671,-2.5362,-0.1623,2.7823,1.3653,0.9822,6856.988,-6.17,24.79,-35.83,17.93,11.49,-0.63,5,984.92,41.184,46.16789,15.859884,850.76,NaN,,5.44,13.717524,344.5,19 / 23,6017,2022-08-21 16:43:02:677
0.4187,2.3527,8.0548,1.138,0.7145,9.7142,-1.4129,-0.1774,1.4955,1.5318,0.1636,-1.1847,6588.0005,-11.16,14.61,-41.53,18.46,-4.18,-6.68,5,984.75,42.54,46.16789,15.859884,850.76,NaN,,5.44,13.717524,344.5,19 / 23,6517,2022-08-21 16:43:03:177
0.2895,1.6899,8.0979,0.0543,1.4524,9.6984,-0.4298,-0.0184,-1.5956,-0.3527,-0.7934,0.1248,7234.988,-13.58,9.23,-43.14,45.8,-9.41,3,5,984.71,43.017,46.167896,15.859879,849.09,NaN,,5.36,13.293592,348.5,19 / 23,7017,2022-08-21 16:43:03:677
-0.0963,3.0903,7.7414,0.5174,1.1609,9.7239,-0.5048,1.4597,-1.4426,0.1216,0.3209,0.1562,6686.0103,-9.79,13.11,-42.49,22.51,-4,-4.59,5,984.79,42.336,46.167896,15.859879,849.09,NaN,,5.36,13.293592,348.5,19 / 23,7516,2022-08-21 16:43:04:176
0.3374,1.8724,5.671,0.4851,0.6466,9.7733,-0.8036,-0.9222,1.2994,0.126,0.7256,-0.1313,7359.9976,-7.78,14.31,-42,19.42,-3.78,-2.84,5,984.8,46.669,46.167908,15.859875,850.68,NaN,,5.47,12.992301,345.5,17 / 23,8016,2022-08-21 16:43:04:676
0.0664,2.3474,6.7753,0.992,0.1008,9.7558,-1.1062,-1.301,1.8301,-1.0928,-0.38,-0.2915,6736.028,-12.22,13.61,-41.85,21.49,-7.52,-5.82,5,984.82,40.761,46.167908,15.859875,850.68,NaN,,5.47,12.992301,345.5,17 / 23,8516,2022-08-21 16:43:05:176
1.264,-0.0341,8.8301,-0.222,0.468,9.793,0.0528,-1.733,2.1305,-0.0389,-0.2994,0.8925,6583.0054,-32.1,12.86,-39.86,66.69,-2.42,2.78,5,984.84,47.404,46.16792,15.859872,848.88,NaN,,5.15,12.410262,346.3,16 / 23,9016,2022-08-21 16:43:05:676
