ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7232,0.2423,10.4865,-0.0712,1.1039,9.7441,-0.1913,1.6126,-2.1425,0.6405,1.0968,0.16,1401.03,-13.46,-28.41,-37.99,150.59,-6.46,0.42,5,992.61,36.493,46.168613,15.859977,840.42,NaN,,4.36,12.226105,164.9,17 / 22,6,2022-07-20 19:54:30:191
-1.3286,2.3868,8.7434,-2.308,1.9284,9.3341,-0.4354,0.0153,-0.7087,0.1436,-0.0441,0.0124,1453.005,-14.44,-25.86,-38.16,129.76,-11.34,13.89,5,992.64,18.332,46.168613,15.859977,840.42,NaN,,4.36,12.226105,164.9,17 / 22,505,2022-07-20 19:54:30:690
-0.6018,2.001,6.4953,-1.2416,0.381,9.7203,0.913,1.1809,-2.3779,0.1387,0.7455,0.9465,1758.9825,-14.34,-22.48,-39.34,145.89,0.74,1.83,5,992.62,24.964,46.168606,15.859986,840.04,NaN,,4.5,12.226105,159.1,17 / 22,1005,2022-07-20 19:54:31:190
0.2453,1.3783,7.2215,-0.6712,1.0249,9.7298,0.1435,-0.6192,-2.2708,0.0027,-0.1337,0.3656,1741.0276,-18.13,-17.51,-39.56,123.79,-6,3.95,5,992.58,21.959,46.168606,15.859986,840.04,NaN,,4.5,12.226105,159.1,17 / 22,1505,2022-07-20 19:54:31:690
-0.6197,2.0853,6.5761,-0.5793,0.2548,9.7862,0.3321,-0.0969,-2.4221,0.1714,-0.6215,0.1548,1797.9976,-19.5,-18.53,-38.66,130.26,-1.49,3.39,5,992.61,23.28,46.168594,15.859997,836.64,NaN,,4.79,12.226105,146.4,17 / 22,2004,2022-07-20 19:54:32:189
-0.0443,0.2279,7.3735,-0.2531,1.0018,9.7521,-0.1803,-0.4495,-2.4813,-0.1008,0.0236,0.2395,1890.0002,-20.96,-17.21,-39.11,120.54,-5.86,1.49,5,992.61,17.652,46.168594,15.859997,836.64,NaN,,4.79,12.226105,146.4,17 / 22,2505,2022-07-20 19:54:32:690
-2.0363,1.94,6.128,-0.4702,0.961,9.7481,0.2589,-1.1446,3.3807,-0.3846,0.2776,-0.1027,1817.9775,-20.79,-17.18,-38.76,120.01,-5.62,2.76,5,992.65,14.708,46.168587,15.860013,836.63,NaN,,4.82,12.226105,135.1,17 / 23,3005,2022-07-20 19:54:33:190
-0.1286,-1.0403,9.414,-0.9619,0.6774,9.7358,-1.4601,-1.3542,4.0659,-1.2456,-0.7856,-0.4388,2016.0226,-19.18,-17.61,-40.59,123.65,-3.96,5.64,5,992.64,14.913,46.168587,15.860013,836.63,NaN,,4.82,12.226105,135.1,17 / 23,3505,2022-07-20 19:54:33:690
-0.7496,-0.5803,8.2696,-0.4873,-0.3955,9.7865,0.3566,-2.1451,3.179,-0.5322,0.0402,-0.0887,2178.9675,-21.96,-11.76,-41.1,119.52,2.31,2.85,5,992.67,43.735,46.168583,15.860027,832.33,NaN,,4.64,12.226105,129.2,17 / 23,4004,2022-07-20 19:54:34:189
-0.6556,-2.144,12.6066,-0.6396,-0.5996,9.7674,-0.9249,-1.5937,2.6423,0.2247,-0.5016,-0.0217,2249.0325,-18.6,-9.13,-41.38,117.8,3.51,3.75,5,992.7,23.673,46.168583,15.860027,832.33,NaN,,4.64,12.226105,129.2,17 / 23,4505,2022-07-20 19:54:34:690
0.3141,-1.1928,11.0465,-0.2728,-0.582,9.7856,-0.0194,-0.8213,2.1468,-0.36,0.3799,-0.693,2233.98,-20.61,-10.8,-41.36,121.15,3.4,1.6,5,992.7,36.467,46.168575,15.860044,833.08,NaN,,5.15,12.226105,125.8,17 / 22,5005,2022-07-20 19:54:35:190
-0.6191,-0.4893,13.7898,-1.5362,1.5824,9.5555,-1.6084,-0.8181,0.7503,-0.7057,-0.1778,0.3015,2072.9927,-17.23,-13.65,-40.52,108.34,-9.29,9.13,5,992.7,19.734,46.168575,15.860044,833.08,NaN,,5.15,12.226105,125.8,17 / 22,5504,2022-07-20 19:54:35:689
-1.6271,1.0086,15.1681,-0.6125,2.0766,9.5647,0.366,0.4663,1.6561,-0.4142,-0.1358,-1.0236,1903.0276,-20.53,-20.33,-38.98,116.3,-12.23,3.66,5,992.71,32.218,46.16857,15.860064,837.1,NaN,,5.36,12.226105,127.4,17 / 22,6005,2022-07-20 19:54:36:190
-0.4558,-0.9769,13.8479,-0.6955,-0.001,9.782,0.0862,-0.1961,2.7178,-0.4599,0.6056,0.2884,1979.0326,-22.11,-18.71,-39.02,127.56,0.01,4.07,5,992.72,22.588,46.16857,15.860064,837.1,NaN,,5.36,12.226105,127.4,17 / 22,6505,2022-07-20 19:54:36:690
0.3876,0.8812,14.6231,-0.1926,0.9099,9.7625,0.0674,-0.4922,-1.1967,-0.0987,-0.0522,-0.8335,1984.9727,-20.72,-16.09,-39.6,119.37,-5.32,1.13,5,992.69,33.272,46.168568,15.860081,836.45,NaN,,5.04,12.226105,132.2,17 / 22,7006,2022-07-20 19:54:37:191
0.457,1.4548,12.1364,-0.2923,0.7575,9.773,-0.6307,0.7917,-1.1747,0.1213,0.5916,1.0427,2029.9952,-15.56,-17.53,-39.07,131.11,-4.43,1.71,5,992.75,24.582,46.168568,15.860081,836.45,NaN,,5.04,12.226105,132.2,17 / 22,7505,2022-07-20 19:54:37:690
0.3601,1.9047,12.3559,0.3142,1.868,9.622,0.2399,-0.1222,-2.2526,0.0748,-0.1563,-0.5555,1957.9727,-18.17,-20.36,-38.36,126.26,-10.98,-1.87,5,992.76,17.827,46.16856,15.860096,836.22,NaN,,5.11,12.226105,137.5,17 / 22,8005,2022-07-20 19:54:38:190
