ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.8479,2.4209,9.0174,-2.6696,3.5122,8.7583,0.6902,0.1678,1.5085,-0.3985,0.3133,0.2333,4734.99,-3.96,-5.98,-46.26,53.61,-23.75,15.54,2,990.55,19.878,46.174183,15.863568,,NaN,,,9212.903,,0 / 19,18,2022-07-16 18:21:40:719
1.608,1.0528,13.127,-0.9162,2.5751,9.4181,-1.9901,1.649,1.0201,-0.5471,0.105,0.2797,5597.0327,-6.45,-3.97,-46.39,58.17,-23.43,19.05,2,990.55,17.52,46.174183,15.863568,,NaN,,,9212.903,,0 / 21,518,2022-07-16 18:21:41:219
-2.9025,-0.7352,13.5559,-1.1476,2.1474,9.4996,1.241,0.2657,1.1155,0.0592,0.0666,0.1091,5392.98,-14.02,9.99,-42.99,49.19,-11.02,8.65,2,990.55,34.656,46.16776,15.859913,860.23,NaN,,3.92,52.501217,43.5,0 / 21,1018,2022-07-16 18:21:41:719
-0.8853,2.2146,9.8668,-0.3953,2.2317,9.5412,0.7337,-0.055,1.214,0.1882,-0.0011,-0.673,5138.0327,-6.13,12.99,-43.63,18.41,-12.01,1.66,2,990.55,21.034,46.16776,15.859913,860.23,NaN,,3.92,52.501217,43.5,0 / 21,1518,2022-07-16 18:21:42:219
-2.5992,1.8108,13.9185,-1.447,2.4984,9.372,-1.1176,0.2202,2.0483,-0.4195,0.3567,0.7126,5003.0327,-5.79,8.49,-45.17,30.31,-15.94,7.14,2,990.62,31.585,46.16782,15.8599,882.07,NaN,,4.54,49.50294,27.1,Dec-23,2017,2022-07-16 18:21:42:718
1.5793,2.4335,14.3527,-0.2691,2.7075,9.4217,-0.5648,-0.6329,-1.6428,-0.4608,0.5262,-0.9356,4635.968,-0.62,10.5,-45.71,11.88,-12.58,4.19,2,990.59,26.909,46.16782,15.8599,882.07,NaN,,4.54,49.50294,27.1,13 / 23,2518,2022-07-16 18:21:43:219
-2.3049,3.5527,12.0748,-0.4851,3.1918,9.26,-1.4641,0.6526,-1.8222,0.2695,0.011,0.4439,4581.968,-5.7,8.93,-45.58,18.53,-14.91,1.09,2,990.58,24.857,46.167866,15.859872,885.44,NaN,,5.29,39.635326,18.8,13 / 23,3018,2022-07-16 18:21:43:719
0.0544,2.9432,11.7476,-0.2472,2.4874,9.4827,-0.1533,-0.5125,-0.1733,0.549,-0.5142,-0.162,4360.9727,-3.77,10.41,-45.26,21.75,-10.74,4.14,2,990.61,21.521,46.167866,15.859872,885.44,NaN,,5.29,39.635326,18.8,13 / 24,3518,2022-07-16 18:21:44:219
-1.3436,2.6865,9.5671,-0.254,3.4183,9.1881,-0.5073,0.1197,-2.0728,0.1741,-0.0777,0.2762,3807.0005,-3.82,9.02,-45.58,12.57,-17.84,1.3,2,990.61,24.022,46.167843,15.859833,865.84,NaN,,5.26,35.406082,13.8,13 / 24,4018,2022-07-16 18:21:44:719
1.541,3.0784,8.8223,0.3301,3.3987,9.1929,1.0413,-0.8619,-2.7452,0.8964,0.6086,-0.9999,3728.0251,-5.44,7.41,-45.26,5.28,-15.82,-4.11,2,990.66,30.652,46.167843,15.859833,865.84,NaN,,5.26,35.406082,13.8,13 / 24,4519,2022-07-16 18:21:45:220
-3.0957,3.1496,5.589,-2.741,3.5749,8.7108,1.1569,0.4459,-3.4663,-0.2784,0.8909,-0.2366,3707.0327,2.01,2.61,-46.48,18.44,-21.16,10.51,2,990.65,20.947,46.16789,15.85988,882.88,NaN,,4.61,34.16915,15.5,14 / 24,5018,2022-07-16 18:21:45:719
0.2895,1.8275,9.9655,-0.8073,2.042,9.5577,-0.5968,-1.4999,-1.8546,0.9937,-0.0134,-0.2453,3726.0005,4.16,10.05,-44.76,357.6,-6.81,4.27,2,990.69,38.382,46.16789,15.85988,882.88,NaN,,4.61,34.16915,15.5,14 / 24,5518,2022-07-16 18:21:46:219
-0.6078,1.4608,9.3272,-0.4387,1.4296,9.692,-1.753,0.7638,-3.0281,-0.2329,-0.2095,0.6091,4154.0176,-0.08,13.43,-44.08,4.96,-8.01,2.15,2,990.64,14.116,46.16789,15.85988,882.88,NaN,,4.61,34.16915,15.5,14 / 24,6018,2022-07-16 18:21:46:719
-0.0837,2.1057,7.9663,-1.0004,1.5039,9.6389,0.6877,-0.2353,-3.1367,0.5817,-0.341,-0.1895,3986.0105,1.39,14.72,-43.27,11.58,-9.8,7.37,2,990.67,26.844,46.167923,15.859839,865.35,NaN,,5.8,22.90788,6.1,14 / 24,6518,2022-07-16 18:21:47:219
-0.7131,2.2606,6.4804,-0.2544,1.8709,9.6232,-0.315,0.3891,-3.3713,0.0439,-0.3693,0.2101,3973.995,-4.33,10.56,-43.84,21.97,-9.34,4.23,2,990.68,18.13,46.167923,15.859839,865.35,NaN,,5.8,22.90788,6.1,14 / 24,7018,2022-07-16 18:21:47:719
-0.3511,2.2289,7.3346,-1.3192,2.0765,9.4931,0.6131,0.0993,-3.3481,0.0732,0.0153,0.42,3800.993,-4.59,9.34,-42.9,34.99,-10.51,8.8,2,990.73,29.721,46.167934,15.859827,859.51,NaN,,5.54,18.14752,4.1,14 / 24,7517,2022-07-16 18:21:48:218
-3.2859,1.5745,5.0058,-0.217,1.787,9.64,0.2389,0.4157,-1.6494,0.0523,-0.807,-0.0996,3820.973,-1.65,9.24,-43.5,10.09,-10.5,1.29,2,990.72,46.385,46.167934,15.859827,859.51,NaN,,5.54,18.14752,4.1,14 / 24,8018,2022-07-16 18:21:48:719
-0.5701,1.7994,5.787,-0.1677,1.3914,9.706,0.2871,-0.5477,-1.6572,0.1781,-0.318,-0.4743,3930.9976,-5.21,10.14,-43.61,19.58,-9.55,1.43,2,990.76,30.81,46.16796,15.859822,859.79,NaN,,5.76,15.025222,359.6,14 / 24,8518,2022-07-16 18:21:49:219
