ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.2652,-1.0481,8.4251,-0.9655,1.1101,9.6957,0.6931,-0.8925,0.1216,1.245,1.2365,0.5264,537.9751,-13.58,5.46,-42.6,73.54,0.99,0.53,5,991.71,16.109,46.16783,15.859846,883.13,NaN,,5.04,12.226105,48.6,16 / 22,6,2022-07-16 20:38:27:740
-0.8512,1.3723,5.729,-0.6454,0.8042,9.7523,-0.0552,0.1143,-2.9174,0.9177,-0.1658,0.1403,499.0276,-13.65,10.52,-41.66,49.45,-4.7,3.79,5,991.56,13.36,46.16783,15.859846,883.13,NaN,,5.04,12.226105,48.6,16 / 22,506,2022-07-16 20:38:28:240
-2.1188,2.0704,6.8219,-0.7097,0.9606,9.7336,-0.3637,0.6794,-2.7307,0.2018,0.0311,0.3376,489.9825,-14.29,9.43,-41.32,56.68,-3.41,4.62,5,991.56,13.811,46.16784,15.859858,883.48,NaN,,4.86,12.226105,45.8,16 / 23,1006,2022-07-16 20:38:28:740
0.2291,2.071,6.1717,-0.4661,1.276,9.7121,-0.8612,-0.5466,-3.3829,-0.3578,-0.2304,0.5635,472.9725,-10.97,9.64,-42.22,42.07,-9.49,5.49,5,991.59,35.902,46.16784,15.859858,883.48,NaN,,4.86,12.226105,45.8,16 / 23,1506,2022-07-16 20:38:29:240
-0.4044,1.925,7.3717,0.1065,1.1561,9.7377,0.2677,0.7167,-2.4883,0.1389,0.0676,0.2181,430.9875,-13.89,11.76,-41.1,40.82,-5.4,-0.47,5,991.61,25.175,46.16785,15.859869,882.98,NaN,,5.26,12.226105,38.9,18 / 23,2006,2022-07-16 20:38:29:740
-0.81,1.1468,7.5858,-0.7221,1.3853,9.6814,0.2096,-0.9716,3.5695,-0.2465,0.014,0.266,427.005,-10.24,12.39,-42.06,36.51,-8.12,4.27,5,991.62,19.27,46.16785,15.859869,882.98,NaN,,5.26,12.226105,38.9,18 / 23,2506,2022-07-16 20:38:30:240
0.9159,2.8098,8.1978,-0.1485,1.083,9.7455,0.8432,-0.1387,2.6139,-0.3413,0.2724,0.2369,423.0225,-7.5,12.24,-42.68,25.51,-10.08,1.61,5,991.64,20.667,46.167866,15.859874,878.98,NaN,,5.4,12.226105,20.4,18 / 23,3006,2022-07-16 20:38:30:740
-0.9906,1.8036,8.1577,-1.3485,1.4667,9.6021,-1.2816,-0.6512,0.6953,-0.0418,-0.6096,0.2098,424.98,-3.66,13.29,-42.73,29.54,-11.42,10.66,5,991.68,22.938,46.167866,15.859874,878.98,NaN,,5.4,12.226105,20.4,18 / 23,3506,2022-07-16 20:38:31:240
-1.4363,1.8389,8.6501,-1.8033,0.7276,9.6119,-0.8309,0.8587,-0.8058,-0.8214,-0.9703,0.3879,396.9675,-3.73,11.89,-43.76,41.61,-7.83,15.43,5,991.66,13.454,46.16788,15.859874,876.45,NaN,,5.15,12.226105,9.3,18 / 23,4006,2022-07-16 20:38:31:740
-0.5216,1.5386,8.5514,-3.4787,2.2478,8.8891,-2.8336,0.6383,2.1126,0.036,-2.5348,0.5279,327.9825,-5.74,7.69,-43.39,52.24,-13.25,21.37,5,991.64,22.772,46.16788,15.859874,876.45,NaN,,5.15,12.226105,9.3,18 / 23,4506,2022-07-16 20:38:32:240
