ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.0295,1.3298,7.654,-0.4585,0.8491,9.7591,0.6206,0.5045,-3.0394,0.3228,0.1097,0.2774,733.9951,-34.44,16.37,-38.03,61.9,-4.97,2.69,5,985.01,40.991,46.167805,15.859855,856.47,NaN,,5.44,13.98953,38.5,16 / 21,8,2022-08-22 19:29:16:317
-4.806,1.3412,7.6098,-0.8258,0.783,9.7404,1.2319,0.8794,-4.1757,0.2998,0.7264,0.3861,756,-33,18.08,-37.87,61.08,-1.97,2.81,5,985.01,53.698,46.167805,15.859855,856.47,NaN,,5.44,13.98953,38.5,16 / 21,508,2022-08-22 19:29:16:817
0.3494,-0.6574,6.3984,0.5446,-0.8113,9.7578,0.0666,0.6866,-1.1585,0.2875,0.4472,0.721,729,-30.09,21.6,-37.41,56.12,4.75,-3.19,5,985.07,46.831,46.167816,15.859867,856.85,NaN,,1.62,15.148815,39.2,16 / 21,1007,2022-08-22 19:29:17:316
-0.8148,0.539,5.7583,0.0823,-0.4653,9.7953,0.2703,1.5137,-3.2441,0.232,-0.0043,0.1374,787.9951,-27.77,27.51,-34.54,46.49,2.72,-0.48,5,984.94,45.883,46.167816,15.859867,856.85,NaN,,1.62,15.148815,39.2,16 / 21,1507,2022-08-22 19:29:17:816
-0.9691,-1.0331,6.417,-0.2951,-1.1187,9.7382,-1.4257,0.4372,-2.1692,-0.0858,0.1248,0.4553,807.0301,-29.08,27.45,-33.86,52.48,6.55,1.74,5,985.01,44.075,46.167843,15.859885,865.56,NaN,,4.68,13.698802,16.5,16 / 21,2007,2022-08-22 19:29:18:316
-0.0263,1.4441,5.6847,0.2016,-1.2268,9.7275,-0.5787,2.1156,-3.9351,0.1106,0.0997,0.433,779.0175,-28.63,28.91,-33,49.05,7.19,-1.19,5,984.99,43.426,46.167843,15.859885,865.56,NaN,,4.68,13.698802,16.5,16 / 21,2507,2022-08-22 19:29:18:816
0.5611,-1.0648,5.6877,-0.5222,-1.0194,9.7395,0.73,-2.3602,4.1598,0.1449,0.271,0.6136,785.025,-26.94,29.98,-33.15,47.24,5.97,3.07,5,985.09,48.988,46.167854,15.859892,872.83,NaN,,4.21,12.808008,17.7,16 / 21,3007,2022-08-22 19:29:19:316
-1.9657,1.2754,7.0283,0.1629,-3.062,9.3149,-2.1256,0.2052,4.3202,-0.9928,0.7617,-0.7876,823.0276,-22.95,30.86,-32.59,49.69,18.19,-1,5,985.05,42.27,46.167854,15.859892,872.83,NaN,,4.21,12.808008,17.7,16 / 21,3508,2022-08-22 19:29:19:817
1.8,-0.6909,5.3587,-1.0764,-1.5273,9.627,0.3753,-1.6503,-2.5286,0.4396,0.2934,1.3935,767.0025,-26.01,33.53,-29.17,44.53,8.96,6.38,5,985.09,51.3,46.16787,15.859894,869.81,NaN,,5.51,12.525616,13.8,16 / 21,4008,2022-08-22 19:29:20:317
-1.3657,0.9547,5.8696,0.9298,-2.0518,9.5444,-1.2248,2.5215,-2.4151,-0.0287,-0.2124,-0.4027,770.9851,-18.28,31.22,-32.61,35.07,14.21,-4.81,5,985.07,43.432,46.16787,15.859894,869.81,NaN,,5.51,12.525616,13.8,16 / 21,4508,2022-08-22 19:29:20:817
0.2853,-1.2114,4.7509,-1.192,-1.3776,9.636,0.3615,-3.6993,3.4884,0.7178,0.005,0.7259,771.9976,-24.15,33.13,-30.81,43.84,8.08,7.05,5,985.11,53.058,46.167885,15.859894,864.21,NaN,,5.58,12.439116,11.7,14 / 21,5008,2022-08-22 19:29:21:317
-1.3262,0.8919,8.2116,0.7216,-1.5664,9.6538,-0.2035,1.8222,3.42,-0.8635,0.0337,-0.8587,791.9776,-17.78,27.19,-35.83,36.4,9.19,-4.27,5,985.08,44.986,46.167885,15.859894,864.21,NaN,,5.58,12.439116,11.7,14 / 21,5507,2022-08-22 19:29:21:816
-0.1956,-1.4465,5.394,-0.7487,-1.4219,9.6741,1.6616,-1.3932,0.572,-0.1965,0.7943,0.188,785.025,-21.75,31.5,-32.23,41.81,8.34,4.43,5,985.14,52.589,46.167896,15.859891,863.79,NaN,,6.05,12.226105,3.2,14 / 21,6007,2022-08-22 19:29:22:316
