ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.2072,2.1452,9.8566,-1.4595,0.8014,9.6643,0.1957,0.6804,-1.4826,-0.7059,0.8926,0.7892,12957.03,-3.88,20.64,-41.49,22.61,-4.69,8.59,2,993.26,33.929,46.16793,15.859881,874.31,NaN,,3.67,12.226105,5.3,14 / 23,15,2022-08-08 16:46:47:968
0.8584,1.2012,8.9994,0.05,1.4599,9.6972,0.4821,-0.2563,-0.3988,0.545,-0.3504,-0.5357,12542.985,3.34,17.31,-42.84,355.3,-5.01,1.73,2,993.17,24.798,46.167946,15.859883,875.05,NaN,,3.67,12.226105,4.3,13 / 23,515,2022-08-08 16:46:48:468
0.0012,3.8082,6.944,0.6383,1.7692,9.6246,1.2893,0.6587,-3.4214,0.3738,1.2209,0.5983,11432.003,-7.42,15.98,-42.56,9.96,-10.39,-3.79,2,993.26,35.329,46.167946,15.859883,875.05,NaN,,3.67,12.226105,4.3,13 / 23,1016,2022-08-08 16:46:48:969
0.2261,1.9472,6.1986,-0.1871,1.1814,9.7334,-0.1426,-0.2993,-1.4826,-0.0832,-0.2502,0.198,11969.033,-3.71,16.56,-42.96,12.35,-6.92,1.1,2,993.26,19.963,46.167953,15.859881,872.75,NaN,,3.92,12.226105,356.4,14 / 23,1515,2022-08-08 16:46:49:468
-2.3109,1.5888,7.3131,-1.334,0.9865,9.6653,-0.8133,0.8135,-2.9918,0.0589,-0.2922,0.4091,12547.98,-2.1,17.53,-42.94,19.52,-5.77,7.86,2,993.29,19.844,46.167953,15.859881,872.75,NaN,,3.92,12.226105,356.4,14 / 23,2015,2022-08-08 16:46:49:968
0.0102,1.0253,7.9807,-0.4684,0.7364,9.7677,0.4141,1.1612,-1.0116,0.1369,-0.1123,-0.0844,12045.983,-0.99,18.66,-42.24,7.76,-4.31,2.75,2,993.31,23.078,46.16796,15.859877,872.81,NaN,,3.92,12.226105,341.9,14 / 23,2515,2022-08-08 16:46:50:468
0.0359,1.9908,6.4983,-0.3829,0.4415,9.7892,-0.986,-0.4622,1.1383,0.0547,0.5441,0.6092,12395.025,-0.39,21.45,-40.97,4.02,-2.58,2.24,2,993.34,37.174,46.16796,15.859877,872.81,NaN,,3.92,12.226105,341.9,14 / 23,3015,2022-08-08 16:46:50:968
-0.2746,0.7376,8.5424,-0.4699,-0.3246,9.79,-0.6767,1.1487,-2.75,-1.0127,-0.9423,-0.0575,11834.978,1.24,19.46,-41.93,3.3,1.9,2.75,2,993.35,19.702,46.167973,15.859875,868.79,NaN,,3.96,12.226105,353.5,14 / 23,3515,2022-08-08 16:46:51:468
-1.4249,1.1043,5.1757,-0.9923,0.0201,9.7563,1.4663,1.0899,-2.291,0.3858,0.3722,0.161,12358.98,1.07,22.74,-40.39,7.53,-0.12,5.81,2,993.35,17.446,46.167973,15.859875,868.79,NaN,,3.96,12.226105,353.5,14 / 23,4016,2022-08-08 16:46:51:969
-0.9679,0.6006,7.1097,-1.1062,-0.4208,9.735,-0.2888,-0.314,2.5942,-0.0948,-0.0173,-0.1856,12184.0205,3.69,22.54,-39.69,1.46,2.46,6.48,2,993.45,21.742,46.167984,15.859872,866.81,NaN,,4.14,12.226105,352.8,14 / 24,4514,2022-08-08 16:46:52:467
1.6134,2.2247,6.5234,0.2857,-0.0955,9.802,-0.4059,-0.4567,2.5098,0.7575,-0.4068,0.2874,12654.023,0.49,23.7,-38.98,3.67,3.76,2.02,2,993.36,29.234,46.167984,15.859872,866.81,NaN,,4.14,12.226105,352.8,14 / 24,5015,2022-08-08 16:46:52:968
