ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6742,-0.1609,10.4477,-0.5194,0.4781,9.7812,-0.3443,-1.3064,1.7147,0.2792,-0.0462,0.3164,3.9825,-18.37,-11.81,-43.91,109.73,-5.71,4.67,5,986.58,27.958,46.16859,15.860005,835.87,NaN,,2.27,12.226105,136.7,17 / 21,4,2022-08-22 20:16:02:954
0.079,0.6837,8.9157,0.1598,0.9906,9.7552,0.1147,-1.8069,4.2751,0.5049,-0.5868,-0.5195,4.995,-20.27,-6.07,-43.86,94.43,-5.8,-0.94,5,986.59,31.19,46.168587,15.860017,836.67,NaN,,3.96,12.226105,123.6,17 / 21,504,2022-08-22 20:16:03:454
-1.1671,0.9009,9.7514,-0.1789,0.171,9.8035,-1.1899,0.0022,3.0348,-0.8148,-1.1945,0.3253,6.0075,-22.87,-9.45,-42.66,109.15,-1,1.05,5,986.57,35.348,46.168587,15.860017,836.67,NaN,,3.96,12.226105,123.6,17 / 21,1004,2022-08-22 20:16:03:954
-1.5715,-0.4564,14.6507,-0.3718,1.1757,9.7288,1.4188,-1.5217,5.1535,0.2015,-0.7114,-0.92,6.0075,-22.82,-7.73,-43.07,96.71,-6.89,2.19,5,986.59,34.605,46.16858,15.860033,836.9,NaN,,5.54,12.226105,126.5,17 / 21,1503,2022-08-22 20:16:04:453
-4.0277,1.4423,15.3954,-1.0634,1.7064,9.5983,-2.0008,-4.00E-04,5.1194,-0.3901,-0.7581,-0.2789,6.0075,-21.21,-14.17,-43.18,97.14,-14.79,6.01,5,986.61,40.114,46.16858,15.860033,836.9,NaN,,5.54,12.226105,126.5,17 / 21,2003,2022-08-22 20:16:04:953
0.4146,0.2596,11.7009,-0.7411,2.514,9.4499,0.1849,-0.1789,1.6632,0.243,0.0264,0.1643,4.995,-21.09,-16.37,-44.23,100.78,-14.85,4.48,5,986.62,36.405,46.16857,15.860051,836.3,NaN,,6.01,12.226105,126.5,16 / 20,2505,2022-08-22 20:16:05:455
-0.8991,-0.4774,13.5655,-1.2389,1.1861,9.6555,0.3942,-1.0355,2.1667,-0.3672,0.6846,0.9,2.97,-21.34,-12.73,-44.08,106.74,-6.95,7.31,5,986.62,38.1,46.16857,15.860051,836.3,NaN,,6.01,12.226105,126.5,16 / 20,3004,2022-08-22 20:16:05:954
-0.2118,1.5422,13.5087,0.0929,1.805,9.6387,0.6303,0.0033,0.7805,0.0434,-0.0812,-0.2678,2.97,-20.74,-8.29,-44.68,88.73,-10.61,-0.55,5,986.64,41.201,46.168564,15.860066,836.4,NaN,,5.26,12.226105,126.5,16 / 20,3504,2022-08-22 20:16:06:454
-4.1755,0.5222,8.881,-1.5044,0.5017,9.6776,-0.3667,-0.5373,0.1861,-0.9844,0.6984,1.6899,2.97,-25.35,-11.64,-42.24,108.76,-3.72,3.52,5,986.63,32.569,46.168564,15.860066,836.4,NaN,,5.26,12.226105,126.5,16 / 20,4004,2022-08-22 20:16:06:954
-0.3314,0.5462,14.8337,-0.4578,1.3507,9.7024,1.1511,0.5169,-1.3588,0.8184,0.2293,-0.1024,2.97,-21.3,-6.84,-45.6,91.83,-7.92,2.7,5,986.65,39.081,46.16856,15.860082,835.76,NaN,,5.29,12.226105,125.4,16 / 20,4504,2022-08-22 20:16:07:454
