ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7316,1.7593,9.8722,-0.093,1.181,9.7348,-0.5113,0.3695,-1.4069,-0.0951,0.6838,-0.2033,18126.99,-19.01,11.4,-40.65,50.76,-6.92,0.55,2,988.97,26.82,46.16783,15.859754,844.16,NaN,,3.6,12.226105,39.1,15 / 24,6,2022-07-29 08:35:05:337
-0.1831,1.794,10.8616,-1.7035,0.9606,9.6097,-0.2703,0.3001,0.6071,-0.0551,-0.1512,-0.5435,25744.973,-12.86,10.58,-42.04,50.89,-8.37,10.4,2,989,36.519,46.16784,15.859759,843.24,NaN,,2.77,12.226105,36,15 / 25,506,2022-07-29 08:35:05:837
1.1276,0.9446,11.8899,-0.9935,0.9511,9.7097,-0.9285,-2.1289,3.6299,0.2988,0.0488,0.6769,22059,-16.87,11.36,-41.4,53.34,-6.81,5.6,2,989.03,39.265,46.16784,15.859759,843.24,NaN,,2.77,12.226105,36,15 / 25,1007,2022-07-29 08:35:06:338
-1.5212,1.1833,10.8072,-1.1282,1.2244,9.6643,0.4166,-0.2121,0.0141,-0.4671,0.0783,-0.411,26390.004,-12.47,12.58,-41.89,43.11,-7.17,6.66,2,988.98,19.869,46.167847,15.859763,843.79,NaN,,3.53,12.226105,22,16 / 26,1506,2022-07-29 08:35:06:837
-2.0841,-0.4965,13.6092,-0.7468,1.2869,9.6931,-0.2556,0.1251,-0.1894,0.0983,0.2262,0.4851,27179.012,-10.59,13.86,-41.38,35.53,-5.42,2.37,2,988.96,31.282,46.167847,15.859763,843.79,NaN,,3.53,12.226105,22,16 / 26,2006,2022-07-29 08:35:07:337
-0.4451,1.2114,10.5984,-0.1932,1.3651,9.7092,-0.8402,0.2666,-0.6131,0.3852,-0.5957,-0.2107,22845.984,-7.11,16.37,-41.4,25.98,-4.6,3.31,2,989.01,36.094,46.16786,15.859767,844.14,NaN,,3.74,12.226105,14.4,15 / 25,2505,2022-07-29 08:35:07:836
-2.208,1.6624,8.1583,-1.0966,2.0537,9.5263,-0.4011,0.0421,-1.7761,0.4876,0.9426,-0.1469,21482.012,-11.14,14.29,-41.34,28.63,-8.37,-0.24,2,989.03,32.62,46.16786,15.859767,844.14,NaN,,3.74,12.226105,14.4,15 / 25,3006,2022-07-29 08:35:08:337
1.5296,0.9954,7.3825,0.6534,0.7488,9.7562,-1.7582,-0.0478,-1.6528,0.1705,0.4306,0.2078,14578.989,-16.89,11.76,-41.04,43.14,-4.38,-3.83,2,989,32.851,46.167873,15.859773,844.4,NaN,,3.71,12.226105,27.5,15 / 25,3506,2022-07-29 08:35:08:837
-2.3474,2.0674,7.4441,-1.3302,1.2489,9.6354,0.6618,-0.2731,-0.6057,-0.152,0.9381,0.0634,19128.016,-13.58,13.61,-41.53,46,-7.32,7.86,2,989.08,31.278,46.167873,15.859773,844.4,NaN,,3.71,12.226105,27.5,15 / 25,4006,2022-07-29 08:35:09:337
0.0628,1.3681,7.3699,-0.6946,0.4586,9.7713,-0.5259,-0.7372,0.0269,-0.0188,0.1426,0.2323,27872.979,-12.75,13.28,-40.61,44.79,-3.8,3.55,2,989.05,38.602,46.16788,15.859777,844.6,NaN,,3.78,12.226105,9.4,15 / 25,4506,2022-07-29 08:35:09:837
