ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.7537,2.0267,7.3095,-0.9003,2.4831,9.4443,-0.0043,-3.4037,4.333,-0.7776,0.6807,1.1869,2.025,23.93,0.92,-33.21,285.02,-8.02,3.94,5,989.06,42.445,46.163048,15.870862,709.51,NaN,,5.29,14.925492,283.8,20 / 23,14,2022-08-19 20:08:37:942
0.7113,1.6313,8.8134,-0.8569,1.3953,9.669,-0.0721,-0.3354,2.5201,-0.1936,0.4365,0.2888,2.97,21.39,-5.14,-35.38,275.08,-10.44,3.75,5,989.03,48.291,46.163025,15.870842,712.49,NaN,,1.76,13.004018,271.4,21 / 24,514,2022-08-19 20:08:38:442
-0.7119,1.3101,10.0062,-1.2431,1.2307,9.6494,-0.8381,-0.4713,1.7079,0.1815,-0.3163,0.7205,3.9825,22.01,-2.49,-35.87,276.55,-5.7,8.65,5,989.05,41.545,46.163025,15.870842,712.49,NaN,,1.76,13.004018,271.4,21 / 24,1013,2022-08-19 20:08:38:941
1.7019,0.9577,9.722,-0.2611,0.3274,9.7977,-1.1792,0.7498,0.8608,-0.5731,-0.4598,0.1176,3.9825,21.38,-7.03,-34.91,258.21,-5.05,4.88,5,989.04,47.889,46.163025,15.870842,712.49,NaN,,1.76,13.004018,271.4,22 / 24,1513,2022-08-19 20:08:39:441
0.198,0.2548,9.7717,-0.7644,1.1414,9.71,-2.1947,0.7766,1.7516,0.2368,0.1736,0.7041,3.9825,20.93,-4.07,-36.53,267.08,-4.56,3.98,5,988.98,38.946,46.163025,15.870842,712.49,NaN,,1.76,13.004018,271.4,22 / 24,2013,2022-08-19 20:08:39:941
-0.3547,0.4325,11.9001,-0.1534,1.4684,9.6949,0.523,0.2627,0.5707,-0.2068,-0.1932,-0.4646,3.9825,17.36,-9.84,-35.29,268.37,-10,2.87,5,989.02,43.802,46.163017,15.870833,713.72,NaN,,3.02,12.226105,285.4,22 / 25,2514,2022-08-19 20:08:40:442
-1.0128,1.456,11.9563,-0.5775,1.3946,9.6898,-0.1483,1.1567,3.347,0.1995,0.3112,0.1368,1.0125,17.14,-5.74,-36.82,264.35,-6.69,1.14,5,989.03,41.561,46.163017,15.870833,713.72,NaN,,3.02,12.226105,285.4,22 / 25,3013,2022-08-19 20:08:40:941
-0.521,-0.0126,14.1308,-0.021,1.0722,9.7478,0.3897,0.5444,0.9434,-0.4501,-0.1635,-0.4119,1.0125,17.03,-8.48,-35.79,264.48,-10.01,2.16,5,989.03,56.995,46.163017,15.870825,716.5,NaN,,2.48,12.226105,266.8,22 / 25,3513,2022-08-19 20:08:41:441
-0.0311,-1.8933,15.4887,0.6076,0.6804,9.7641,-0.7296,1.1113,0.3914,-0.6527,0.2236,0.6949,2.025,14.57,-5.81,-36.28,254.25,-2.28,-2.03,5,989.06,38.695,46.163017,15.870825,716.5,NaN,,2.48,12.226105,266.8,22 / 25,4013,2022-08-19 20:08:41:941
-0.3858,0.2213,10.5523,-0.7758,0.7073,9.7503,0.3074,0.1406,-2.8758,-0.3032,0.2398,-0.1453,2.025,18.08,-1.84,-36.68,273.21,-4.23,4.74,5,989.04,48.548,46.16301,15.870815,717.53,NaN,,3.24,12.226105,252.5,22 / 25,4514,2022-08-19 20:08:42:442
-2.607,1.0283,10.2299,-0.3013,0.6478,9.7806,-1.6869,1.038,-1.7057,-0.1184,-0.1403,-0.0702,2.025,18.92,-3.39,-36.86,265.02,-2.13,0.82,5,989.05,41.94,46.16301,15.870815,717.53,NaN,,3.24,12.226105,252.5,22 / 25,5013,2022-08-19 20:08:42:941
0.6126,0.9069,8.4449,-0.6014,0.7992,9.7555,0.8649,0.066,0.095,0.1595,0.1356,-0.1567,2.025,18,-5.16,-35.96,263.54,-5,4.17,5,989.04,49.441,46.163,15.870801,720.27,NaN,,4.93,12.226105,233,22 / 25,5513,2022-08-19 20:08:43:441
