ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0491,0.7585,10.1031,-0.5297,1.0462,9.7363,0.023,-0.0459,0.3829,0.1798,0.1006,0.6508,1174.9725,-24.36,-3.07,-38.34,87.96,-6.12,3.11,5,991.25,29.604,46.163517,15.869986,736.62,NaN,,0,12.226105,,15 / 22,7,2022-07-29 20:03:17:194
-0.1735,1.6606,9.7747,0.4654,1.6254,9.6598,1.0563,0.1642,-1.0581,0.1738,-0.0231,-0.2687,1184.0176,-21.86,0.39,-38.85,76.11,-7.64,-1.16,5,991.25,27.586,46.163517,15.869986,736.62,NaN,,0,12.226105,,15 / 23,508,2022-07-29 20:03:17:695
0.3918,1.8784,11.4658,0.238,1.2687,9.7213,-1.1136,0.1569,0.642,-0.2745,-0.318,0.5489,1176.9976,-21.86,-1.09,-38.53,75,-9.63,-1.45,5,991.24,23.005,46.163517,15.869986,736.62,NaN,,0,12.226105,,15 / 23,1008,2022-07-29 20:03:18:195
0.7298,2.0177,9.8375,0.1241,1.6544,9.6653,-0.1981,0.0424,0.2398,0.101,0.2334,0.651,1152.0226,-23.36,3.83,-37.39,64.86,-9.65,-1.73,5,991.25,28.328,46.163517,15.869996,741.64,NaN,,0,12.23351,,15 / 23,1508,2022-07-29 20:03:18:695
0.1579,1.7952,8.6064,0.0109,2.0937,9.5805,0.0796,-0.5047,-1.3317,-0.4332,0.151,1.3551,1083.9825,-19.18,8.48,-38.04,49.95,-12.33,-0.07,5,991.25,31.949,46.163517,15.869996,741.64,NaN,,0,12.23351,,15 / 23,2007,2022-07-29 20:03:19:194
-1.8461,-0.4265,10.3908,-0.1121,1.3565,9.7117,-0.0726,0.3196,0.9759,-0.199,0.2165,0.6616,980.9775,-11.76,15.15,-38.38,29.31,-8.43,-0.8,5,991.26,41.615,46.16351,15.869989,739.32,NaN,,4.54,13.01873,206.3,16 / 23,2507,2022-07-29 20:03:19:694
-0.1525,-0.3649,12.4307,-0.1134,1.2684,9.7236,1.0099,0.5,1.9469,-0.1452,-0.3485,-0.2094,946.0125,-7.91,16.37,-37.91,24.3,-8.15,2.36,5,991.27,38.445,46.16351,15.869989,739.32,NaN,,4.54,13.01873,206.3,16 / 23,3007,2022-07-29 20:03:20:194
-1.1498,2.2355,11.4873,-0.3696,1.7187,9.6478,-0.9769,0.7088,0.4254,-0.1607,0.1572,0.2262,909.0225,1.09,17.34,-39.34,359.11,-8.8,0.95,5,991.25,43.423,46.1635,15.869973,734.37,NaN,,3.46,12.81193,230.3,16 / 25,3508,2022-07-29 20:03:20:695
0.9129,1.8981,10.0756,-0.0867,1.7204,9.6542,-0.1588,-0.1504,-2.5074,-0.0052,-0.4386,-0.4448,892.0125,4.52,15.24,-40.71,348.09,-10.1,0.51,5,991.28,29.167,46.1635,15.869973,734.37,NaN,,3.46,12.81193,230.3,16 / 25,4008,2022-07-29 20:03:21:195
-0.5198,1.8915,11.1601,0.2005,1.5054,9.6883,-0.308,1.0616,-2.3499,7.00E-04,0.0518,-0.0236,851.985,1.14,14.23,-41.76,353.07,-7.28,-1.82,5,991.27,26.935,46.163506,15.869958,737.57,NaN,,4,12.226105,281.7,17 / 25,4508,2022-07-29 20:03:21:695
0.6497,1.3609,9.9512,-0.3046,1.2842,9.7174,0.198,-0.12,-2.1668,0.3516,-0.1219,0.0647,865.0125,3.54,16.09,-40.11,356.36,-5.03,3.95,5,991.27,28.316,46.163506,15.869958,737.57,NaN,,4,12.226105,281.7,17 / 25,5007,2022-07-29 20:03:22:194
