ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.4638,2.0847,8.8164,0.087,1.7615,9.6468,0.5617,0.8448,-2.0781,0.4285,-0.0821,0.2176,84505.01,-15.96,12.43,-43.03,38.6,-10.35,-0.52,5,986.11,20.299,46.167866,15.859823,855.86,NaN,,2.23,27.918112,40.7,13 / 20,14,2022-08-17 11:13:50:933
0.8674,2.4688,8.5502,-0.577,1.3243,9.6997,-1.6889,0.3278,-1.6294,-0.8905,-0.6555,0.1332,80552.01,-12.88,10.97,-43.72,42.99,-7.76,3.4,5,986.11,19.073,46.16785,15.859794,853.22,NaN,,0,12.226105,,16 / 20,514,2022-08-17 11:13:51:433
1.2096,-0.064,7.4219,-0.1656,-0.2899,9.801,0.4811,0.4925,-3.1648,-1.1041,0.2891,0.5305,81959.984,-15.28,16.13,-40.84,39.24,1.03,-3.53,5,986.14,29.812,46.16785,15.859794,853.22,NaN,,0,12.226105,,16 / 20,1016,2022-08-17 11:13:51:935
6.00E-04,0.4875,5.7781,-0.2307,0.624,9.7841,0.2496,-0.2445,-2.3976,0.5168,-0.2849,0.2411,81905.984,-6.19,22.05,-40.69,22.39,0.27,4.2,5,986.11,22.798,46.16788,15.859805,860.42,NaN,,4.86,12.226105,14.1,16 / 23,1514,2022-08-17 11:13:52:433
-1.5541,1.1791,7.1468,-0.0805,-0.3525,9.8,-1.0363,1.1044,-0.3835,0.2773,-0.3729,-0.1253,83271.984,-9.26,21.43,-41.25,25.57,2.06,0.47,5,986.1,45.335,46.16788,15.859805,860.42,NaN,,4.86,12.226105,14.1,16 / 23,2016,2022-08-17 11:13:52:935
2.1314,-0.0664,5.8911,-0.6725,0.7221,9.7569,0.978,-1.701,-1.2371,1.0728,0.2168,0.8396,84015.02,-8.66,21.75,-40.86,25.35,-4.22,3.94,5,986.11,40.839,46.16791,15.859821,861.47,NaN,,4.25,12.226105,13.9,16 / 23,2515,2022-08-17 11:13:53:434
-3.6323,1.0343,8.3204,0.7658,-0.7164,9.7504,-1.3413,3.0458,-0.679,-0.4902,-0.4361,-0.6198,80106.03,-7.76,18.02,-42.41,18.82,6.09,-4.66,5,986.18,38.716,46.16791,15.859821,861.47,NaN,,4.25,12.226105,13.9,16 / 23,3015,2022-08-17 11:13:53:934
1.4231,0.7621,5.9097,-1.7702,1.3031,9.5571,3.2846,-0.8156,-4.0219,0.7528,0.2696,1.1641,78809.02,-10.69,22.01,-40.44,38.95,-1.68,11.34,5,986.15,37.988,46.167923,15.859818,858.96,NaN,,5.4,12.226105,13.9,16 / 23,3514,2022-08-17 11:13:54:433
-2.6219,2.0853,6.6754,-0.2734,-0.2184,9.8004,-0.3311,2.3696,-0.2258,0.4126,-0.0931,-0.0858,80406,-2.89,17.51,-42.81,13.84,1.28,1.6,5,986.19,45.741,46.167923,15.859818,858.96,NaN,,5.4,12.226105,13.9,16 / 23,4014,2022-08-17 11:13:54:933
1.678,-0.4044,5.9533,-0.8222,-0.0071,9.7721,2.4822,0.3601,-2.2089,0.1086,-0.1826,0.2247,82249.97,0.02,23.1,-40.5,8.31,0.04,4.81,5,986.24,40.496,46.167923,15.859818,858.96,NaN,,5.4,12.226105,13.9,16 / 23,4514,2022-08-17 11:13:55:433
