ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1567,3.5252,11.8857,-0.5762,2.0231,9.5784,1.6313,-0.3387,3.0656,-0.112,0.0576,-0.2563,5856.975,-20.76,-0.34,-43.87,70.61,-12.41,5.9,5,996.85,16.351,46.16779,15.859949,858.5,NaN,,2.16,35.52236,31.5,Dec-15,13,2022-07-17 17:21:49:345
-0.865,-0.597,14.5579,-0.4293,1.3269,9.707,-0.8621,-0.3217,1.7076,-0.3115,-0.1501,0.0793,6535.0127,-27.67,4.01,-41.31,70.44,-9.46,2.21,5,996.86,10.559,46.16779,15.859949,858.5,NaN,,2.16,35.52236,31.5,Dec-15,513,2022-07-17 17:21:49:845
0.2566,1.3011,11.8983,0.0313,1.5416,9.6847,0.3705,0.0704,-1.9037,0.1571,0.1689,-0.5076,37433.004,-23.59,8.44,-41.4,63.88,-5.88,1,5,996.84,27.187,46.1678,15.859932,860.48,NaN,,2.45,23.661476,31.5,14 / 17,1013,2022-07-17 17:21:50:345
-3.8279,1.7551,8.7583,-0.9247,1.5401,9.6407,-1.4954,0.8954,-2.9718,0.0749,0.1727,0.7019,6709.9727,-20.49,7.35,-42.88,62.09,-6.28,2.47,5,996.83,30.75,46.1678,15.859932,860.48,NaN,,2.45,23.661476,31.5,14 / 17,1513,2022-07-17 17:21:50:845
-0.1035,0.7998,11.5268,-0.3115,1.2479,9.7219,0.8206,-0.5792,-1.2931,0.4449,-0.2721,-0.4018,41290.023,-12.81,12.09,-42.9,44.13,-5.5,3.38,5,996.85,33.664,46.167896,15.859992,909.17,NaN,,6.26,21.346767,21.2,16 / 19,2014,2022-07-17 17:21:51:346
-0.615,-0.2794,10.6301,-0.4268,-0.9928,9.7469,-0.9668,-0.0536,-0.5153,0.6891,0.1419,0.4527,13889.003,-15.6,16.78,-39.26,54.48,9.7,-2.78,5,996.89,19.942,46.167896,15.859992,909.17,NaN,,6.26,21.346767,21.2,17 / 26,2513,2022-07-17 17:21:51:845
0.3117,0.6012,10.5452,0.2699,0.3022,9.7983,-1.2025,-0.5333,-3.2904,1.2148,-0.0193,-0.151,23816.025,-16.2,17.38,-38.94,48.58,2.2,2.35,5,996.83,32.28,46.167896,15.859992,909.17,NaN,,6.26,21.346767,21.2,17 / 26,3014,2022-07-17 17:21:52:346
-1.1246,2.2768,6.9535,-0.6035,0.9649,9.7404,-0.0593,0.1173,-0.8808,0.3873,-0.0074,0.5625,16288.0205,-19.71,8.25,-42.56,65.61,-3.07,3.45,5,996.85,22.226,46.167866,15.859891,873.98,NaN,,5.69,13.30192,27.9,20 / 26,3513,2022-07-17 17:21:52:845
1.3591,2.8481,8.0608,-0.3916,1.665,9.6563,0.4368,0.6164,-2.3937,-0.0366,-0.2415,0.2442,5473.98,-23.55,6.6,-43.63,63.66,-8.92,4.2,5,996.85,31.243,46.167866,15.859891,873.98,NaN,,5.69,13.30192,27.9,20 / 26,4013,2022-07-17 17:21:53:345
-0.9541,1.7671,6.9811,-0.9101,1.9382,9.57,-0.508,0.007,-2.2332,0.393,-0.22,0.2195,5305.9727,-7.09,10.91,-43.11,31.1,-7.93,4.16,5,996.9,12.35,46.167896,15.8599,884.68,NaN,,5.65,13.302503,18.3,20 / 26,4513,2022-07-17 17:21:53:845
