ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.4185,-0.9248,12.0658,-0.7889,-0.0949,9.7744,-0.0279,0.3433,1.3842,-1.241,-0.3562,1.2759,0,11.85,14.42,-41.59,327.72,0.55,4.61,5,994.18,48.153,46.16274,15.870443,740,NaN,,4.9,12.226105,324.3,17 / 21,4,2022-07-28 21:19:13:807
-1.0397,1.3603,11.8451,-0.9537,1.2362,9.6816,-0.6293,0.7838,0.3544,0.0168,0.0557,-0.3422,0,19.33,14.87,-39.19,318.29,-2.57,5.77,5,993.97,43.865,46.16274,15.870443,740,NaN,,4.9,12.226105,324.3,17 / 21,505,2022-07-28 21:19:14:308
-2.5681,-0.0754,11.6207,-0.7812,0.5113,9.7621,-0.2445,0.4779,-2.2933,-0.2162,0.1956,-0.0504,0,20.96,11.33,-39.68,306.55,-2.99,4.58,5,994.02,58.369,46.16275,15.870432,742.29,NaN,,4.93,12.226105,327,16 / 21,1005,2022-07-28 21:19:14:808
-1.6068,0.9218,10.7731,-0.2475,-0.5165,9.7899,0.4024,1.1966,-3.7498,-0.4409,0.4151,0.3478,0,16.97,17.42,-39.6,312.89,3.02,1.45,5,994.04,62.205,46.16275,15.870432,742.29,NaN,,4.93,12.226105,327,16 / 21,1505,2022-07-28 21:19:15:308
-0.8148,-0.1328,9.6359,-0.6514,0.678,9.7615,-1.067,0.9187,-4.6398,-0.145,0.7475,0.0861,0,16.18,17.66,-40.09,327.39,-3.96,3.82,5,994.04,47.307,46.16276,15.870421,742.3,NaN,,4.86,12.226105,325.7,16 / 21,2005,2022-07-28 21:19:15:808
0.2411,0.3176,8.0853,-0.5229,-0.7459,9.7643,0.3205,0.6493,-3.3174,0.0752,-0.4362,0.3871,0,17.53,17.7,-39.9,309.72,5.69,1.82,5,994.04,53.058,46.16276,15.870421,742.3,NaN,,4.86,12.226105,325.7,16 / 21,2505,2022-07-28 21:19:16:308
-0.6897,0.3793,3.7083,-0.5596,-0.3063,9.7859,2.3145,-1.9264,-0.012,0.5454,0.8157,-0.3294,0,16.01,17.61,-39.86,320.68,1.79,3.27,5,994.04,39.723,46.162773,15.870411,741.16,NaN,,4.86,12.226105,322.9,15 / 21,3004,2022-07-28 21:19:16:807
-3.4415,-2.1446,10.3651,-0.2962,-1.7841,9.6384,0.7807,0.4977,1.0007,-1.7823,-0.8073,0.387,0,17.19,18.09,-39.23,303.65,10.48,1.76,5,994.1,41.656,46.162773,15.870411,741.16,NaN,,4.86,12.226105,322.9,15 / 21,3505,2022-07-28 21:19:17:308
1.3101,-2.0016,8.3797,-0.0311,-0.7162,9.7804,-1.4359,-0.6199,2.7945,0.8163,-1.2589,-0.0751,0,16.09,20.19,-38.55,317.12,4.19,0.18,5,993.92,36.52,46.16278,15.870402,739.96,NaN,,4.82,12.226105,325.7,15 / 21,4004,2022-07-28 21:19:17:807
0.5456,-1.6899,14.4144,-0.8154,0.1914,9.7708,-1.3793,-1.8341,3.8738,-0.3765,0.5239,0.4853,0,15.62,16.8,-40.82,324.12,-1.2,4.23,5,994,34.249,46.16278,15.870402,739.96,NaN,,4.82,12.226105,325.7,15 / 21,4504,2022-07-28 21:19:18:307
