ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.193,1.8718,7.8742,-2.584,2.7818,9.0418,-0.9691,-0.5451,2.3144,0.0328,0.2785,0.2806,25.9875,-5.04,-30.34,-31.57,149.03,-15.41,14.01,5,994.42,40.448,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,6,2022-07-31 21:29:53:685
1.879,0.079,11.5125,-1.7767,0.1311,9.6435,0.3453,1.4131,0.1415,-1.9816,-1.2575,-0.2831,12.015,-8.12,-28.28,-33.56,140.94,-13.08,14.91,5,994.4,41.49,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,506,2022-07-31 21:29:54:185
-2.5214,2.7876,11.001,-1.6987,1.4941,9.5421,2.6368,1.5887,-2.4612,-0.1252,0.5042,0.048,3.9825,-9.17,-23.27,-36.26,139.2,-8.76,10.09,5,994.33,47.192,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,1006,2022-07-31 21:29:54:685
-2.2493,4.337,8.0225,-1.9221,3.562,8.9324,0.6764,-1.2218,-2.5637,0.4538,0.2246,-0.2367,9.99,-17.14,-32.46,-33.64,131.44,-19,10.96,5,994.35,47.601,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,1507,2022-07-31 21:29:55:186
-2.0895,4.1151,8.0423,-0.765,3.4131,9.1617,-0.0345,-0.1685,-2.9144,0.2928,-0.0386,-0.2307,8.0325,-21.17,-40.18,-28.65,141.05,-18.71,5.44,5,994.41,42.6,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,2006,2022-07-31 21:29:55:685
0.073,3.1645,6.4534,-0.4678,4.1,8.8962,0.9793,-1.018,-1.749,0.1877,0.2352,0.2852,8.0325,-16.16,-38.42,-27.38,143.54,-23.66,4.6,5,994.41,66.13,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,2506,2022-07-31 21:29:56:185
0.344,3.1059,10.0828,-0.1973,3.7459,9.0609,0.947,0.6723,2.2148,0.1413,0.7054,0.1591,2.97,-23.08,-38.91,-25.91,138.15,-22.46,1.25,5,994.42,37.432,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,3006,2022-07-31 21:29:56:685
-1.4919,1.8939,12.5581,-0.4553,3.2912,9.2266,-0.2806,0.9028,0.6148,-0.3274,0.237,0.0163,2.025,-34.31,-41.01,-25.76,130.66,-20.56,0.31,5,994.42,36.193,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,3507,2022-07-31 21:29:57:186
-0.5252,3.9715,9.9278,-0.5623,3.3742,9.1907,-0.5903,0.3802,0.0359,0.1939,-0.2771,0.1224,2.025,-26.63,-36.21,-28.65,131.23,-18.7,4.2,5,994.41,42.522,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,4006,2022-07-31 21:29:57:685
-1.3513,4.2407,8.7482,0.1258,3.2673,9.2455,-0.6312,1.2675,-1.8453,-0.6716,-0.4106,-0.1375,2.025,-21.73,-34.59,-27.71,134.97,-21.1,1.75,5,994.41,45.654,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,4506,2022-07-31 21:29:58:185
-1.5529,2.1649,5.5986,-1.5049,3.4706,9.0477,2.625,-0.5232,-0.5365,-0.5579,-0.4523,0.4363,2.025,-17.49,-32.03,-30.3,133.3,-20.73,9.44,5,994.38,46.598,46.16466,15.869123,776.68,NaN,,4.64,32.048534,359.6,14 / 17,5006,2022-07-31 21:29:58:685
