ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.801,0.1501,10.4345,-0.093,0.2141,9.8039,2.2993,0.0197,1.7222,0.2041,0.7249,-0.4426,5780.0254,14.55,-14.85,-39.69,226,-1.25,0.54,5,990.08,40.257,46.163094,15.87098,730.75,NaN,,4.46,12.226105,234.8,17 / 24,7,2022-07-26 08:29:20:275
-5.6207,-1.2778,13.3137,-2.1981,0.481,9.545,-1.2832,0.3711,0.7951,-0.5373,0.174,0.2602,4219.02,20.03,-12.67,-37.69,225.04,-2.81,12.97,5,990.07,39.731,46.163094,15.87098,730.75,NaN,,4.46,12.226105,234.8,17 / 24,506,2022-07-26 08:29:20:774
-0.073,-1.1049,14.1296,-0.0125,-0.1513,9.8055,1.4566,-0.0116,2.5765,0.5268,0.2687,-1.2415,5418.023,17.49,-13.82,-38.44,230.5,-0.83,1.04,5,990.07,27.936,46.16308,15.870967,729.59,NaN,,4.07,12.226105,234.7,17 / 24,1006,2022-07-26 08:29:21:274
-4.0277,-0.7196,14.2804,-1.6349,0.4962,9.6567,-1.4636,-0.0082,3.006,-0.2637,1.5354,0.8643,4155.0303,12.43,-11.23,-42.43,234.82,-3.77,0.48,5,990.07,47.017,46.16308,15.870967,729.59,NaN,,4.07,12.226105,234.7,17 / 24,1506,2022-07-26 08:29:21:774
1.3226,-0.2865,13.3077,-0.4961,0.881,9.7544,0.5681,-0.2761,-0.7525,-0.4079,-0.4019,-0.598,4364.0103,13.39,-16.84,-38.51,219.45,-5.15,2.91,5,990.06,36.898,46.16307,15.870954,729.62,NaN,,4.28,12.226105,227.3,17 / 24,2007,2022-07-26 08:29:22:275
-2.3856,0.335,13.4919,-0.6702,0.5684,9.7672,-2.4161,0.6947,-1.0174,-0.0958,-0.1058,-0.4126,2713.0276,16.48,-10.11,-39.81,240.09,-3.32,3.93,5,990.06,24.785,46.16307,15.870954,729.62,NaN,,4.28,12.226105,227.3,17 / 24,2507,2022-07-26 08:29:22:775
-2.3641,2.7374,8.0734,-1.749,2.2495,9.3835,-0.532,1.6612,-3.3168,-0.563,0.1772,-0.0777,2499.9976,19.13,-12.13,-37.54,266.87,-15.49,11.97,5,990.09,50.374,46.163063,15.87094,725.09,NaN,,4.39,12.226105,249.6,17 / 25,3007,2022-07-26 08:29:23:275
-0.7292,0.0197,12.2207,-0.1588,0.8451,9.7689,-2.1115,-0.5342,0.8392,0.7579,-0.5256,-0.2228,1370.9926,9.04,-13.82,-37.78,210.52,3.01,-0.63,5,990.11,40.912,46.163063,15.87094,725.09,NaN,,4.39,12.226105,249.6,17 / 25,3506,2022-07-26 08:29:23:774
0.119,0.652,8.5926,-0.041,0.8231,9.772,0.1049,-0.1436,-3.4945,-0.578,0.5738,0.5534,1611.9675,9.02,-10.99,-41.08,229.59,-4.81,0.24,5,990.08,35.74,46.163055,15.870924,724.89,NaN,,4.14,12.226105,259.3,18 / 25,4006,2022-07-26 08:29:24:274
-1.2622,1.8173,8.8546,-0.516,0.8669,9.7546,-0.1999,0.4106,-3.1533,-0.0564,0.8772,0.0315,1633.9725,12.09,-13.07,-41.14,226.63,-5.07,3.03,5,990.08,36.784,46.163055,15.870924,724.89,NaN,,4.14,12.226105,259.3,18 / 25,4506,2022-07-26 08:29:24:774
0.7172,1.544,5.9785,-0.5524,1.092,9.73,0.7566,-0.1047,-3.584,-0.0242,-0.3182,0.8777,904.0275,15.98,-14.31,-36.75,229.8,-6.19,6.74,5,990.05,35.536,46.163048,15.870911,725.43,NaN,,4.64,12.226105,232.4,18 / 25,5007,2022-07-26 08:29:25:275
-0.0879,1.2616,5.9276,-0.8127,-0.383,9.7654,1.8342,-0.2135,-0.7483,-0.388,-0.223,-0.3861,752.0175,8.64,-12.24,-41.14,202.24,2.24,4.76,5,990.12,37.063,46.163048,15.870911,725.43,NaN,,4.64,12.226105,232.4,18 / 25,5507,2022-07-26 08:29:25:775
0.4295,0.8447,6.2112,-0.048,0.7995,9.7739,1.5488,-0.6675,-0.686,0.7284,-0.256,0.4892,708.0075,12.26,-7.76,-41.23,248.59,-4.68,0.28,5,990.07,27.485,46.16304,15.870898,725.31,NaN,,4.21,12.226105,234.6,18 / 25,6006,2022-07-26 08:29:26:274
-0.3529,1.5332,4.6822,2.0423,0.888,9.5504,0.1105,0.4659,-1.199,0.6173,-2.0256,-0.7039,1267.9875,9.09,-19.05,-40.82,228.33,-5.2,-12.07,5,990.03,33.184,46.16304,15.870898,725.31,NaN,,4.21,12.226105,234.6,18 / 25,6506,2022-07-26 08:29:26:774
-0.8859,-0.4851,5.4718,-0.892,1.0999,9.7039,0.9076,-1.2723,-1.1048,0.4724,-0.174,0.2531,591.0301,11.23,-14.81,-40.61,210.81,-4.44,5.55,5,990.09,27.267,46.16303,15.87088,728,NaN,,4.54,12.226105,230.3,18 / 25,7007,2022-07-26 08:29:27:275
0.3368,1.0618,8.6686,0.3619,0.6354,9.7794,-0.6286,-0.706,4.9532,-0.0629,0.1813,-0.8307,616.005,12.36,-18.77,-38.61,219.21,-3.71,-2.12,5,990.06,32.32,46.16303,15.87088,728,NaN,,4.54,12.226105,230.3,18 / 25,7506,2022-07-26 08:29:27:774
-0.6383,-0.8776,8.065,-1.2855,1.0865,9.6611,-2.6684,-1.8982,6.2552,0.2153,0.2383,0.7262,646.9876,16.39,-11.79,-39.37,235.34,-6.36,7.58,5,990.09,46.994,46.163017,15.870866,726.89,NaN,,4.39,12.226105,219.9,18 / 25,8007,2022-07-26 08:29:28:275
0.6975,0.3625,8.8481,-0.63,0.3471,9.7802,-2.1568,-1.4415,3.5092,-0.3971,-0.0977,-0.2007,860.0175,19.54,-14.12,-37.57,234.26,-2.03,3.69,5,990.06,51.306,46.163017,15.870866,726.89,NaN,,4.39,12.226105,219.9,18 / 25,8508,2022-07-26 08:29:28:776
-0.0179,-0.1777,8.9515,-1.2756,0.2107,9.7211,-1.2516,-2.3944,4.4151,0.5585,-0.0403,0.9797,899.0325,19.16,-7.93,-39.92,243.12,-0.78,6.08,5,990.1,46.195,46.16301,15.870852,730.65,NaN,,4.54,12.226105,230.8,18 / 25,9006,2022-07-26 08:29:29:274
-0.3846,-0.4983,12.2201,0.3365,0.8547,9.7635,1.3555,0.2301,0.7048,-0.8492,0.1891,-0.8632,925.02,16.97,-11.59,-40.11,245.11,-5,-1.97,5,990.09,32.992,46.16301,15.870852,730.65,NaN,,4.54,12.226105,230.8,18 / 25,9506,2022-07-26 08:29:29:774
-0.2345,-0.204,7.9101,-0.7701,0.4058,9.7679,-2.1601,0.4683,2.4423,0.7556,-2.00E-04,1.448,962.01,14.93,-6.62,-41.68,245.9,-2.37,4.51,5,990.06,33.832,46.162994,15.870837,731.89,NaN,,4.57,12.226105,228.1,17 / 25,10007,2022-07-26 08:29:30:275
-0.3517,0.2124,13.5924,0.4206,0.9289,9.7535,1.9808,1.4261,0.3755,-0.7434,-0.1768,-0.3503,1081.0126,6.81,-17.23,-40.03,213.51,-5.44,-2.47,5,990.16,40.186,46.162994,15.870837,731.89,NaN,,4.57,12.226105,228.1,17 / 25,10507,2022-07-26 08:29:30:775
-0.9565,-0.9858,16.5679,0.4185,0.27,9.794,-1.5837,0.9137,2.8767,-0.7213,0.088,0.1371,1309.9725,2.38,-17.64,-40.16,198.8,-4.03,-4.54,5,990.26,36.278,46.162987,15.870821,730.11,NaN,,4.57,12.226105,226.5,17 / 25,11006,2022-07-26 08:29:31:274
3.2321,0.6592,13.2353,0.2776,1.1927,9.7299,1.0883,-0.1744,-0.061,-0.7768,-0.048,-1.3994,1422.0226,3.69,-15.99,-40.2,204.98,-6.99,-1.63,5,990.1,39.142,46.162987,15.870821,730.11,NaN,,4.57,12.226105,226.5,17 / 25,11506,2022-07-26 08:29:31:774
-3.4343,-1.5817,16.9388,-0.1441,1.0013,9.7543,-1.7959,1.4562,0.6387,-0.0255,-0.1605,-0.4312,1401.9751,14.93,-11.36,-41.36,244.93,-5.86,0.85,5,990.12,43.664,46.162975,15.870805,730.55,NaN,,4.64,12.226105,226.6,17 / 25,12006,2022-07-26 08:29:32:274
1.4034,1.3717,11.8343,-0.1388,1.6832,9.6601,1.7516,-0.1043,-0.0807,-0.1677,-0.0821,-0.0763,1509.03,16.48,-16.03,-39.04,239.68,-9.88,0.82,5,990.06,48.302,46.162975,15.870805,730.55,NaN,,4.64,12.226105,226.6,17 / 25,12507,2022-07-26 08:29:32:775
-0.8028,3.4612,12.1771,-0.2731,1.3582,9.7083,-1.5768,1.657,2.1663,0.0968,-0.1034,0.5448,1458,15.45,-15.96,-39.98,234.62,-6.26,-1.92,5,990.1,51.317,46.162968,15.870789,729.84,NaN,,4.54,12.226105,232.6,17 / 25,13007,2022-07-26 08:29:33:275
1.2622,1.3938,9.5647,-0.9865,2.0697,9.5349,0.6868,-0.2419,-2.9794,0.2786,0.0111,-0.1919,1446.9976,16.01,-16.86,-38.7,235.82,-12.18,5.91,5,990.14,57.753,46.162968,15.870789,729.84,NaN,,4.54,12.226105,232.6,17 / 25,13506,2022-07-26 08:29:33:774
-4.1492,1.8873,12.6245,0.2764,0.9525,9.7564,-0.7169,0.9108,-3.1799,-0.4623,-0.5653,-0.6762,1277.9775,17.76,-17.72,-37.93,233.18,-5.57,-1.62,5,990.14,50.053,46.16296,15.870771,731.52,NaN,,4.72,12.226105,232,17 / 25,14006,2022-07-26 08:29:34:274
1.389,1.0187,9.8267,-0.8974,1.8317,9.5922,1.4825,-0.7514,-2.6359,0.4217,-0.3331,0.3871,1238.0176,19.24,-12.83,-39.43,251.25,-10.76,5.35,5,990.09,45.466,46.16296,15.870771,731.52,NaN,,4.72,12.226105,232,17 / 25,14506,2022-07-26 08:29:34:774
-1.7922,2.6363,10.7635,0.7457,1.1583,9.7094,-1.432,1.5499,-3.1104,-0.5014,-0.1285,-0.4935,1768.0276,15.84,-16.69,-39.79,238.29,-7.27,-4.99,5,990.07,49.35,46.16295,15.870756,732.84,NaN,,4.64,12.226105,220.1,17 / 25,15006,2022-07-26 08:29:35:274
0.9494,1.1414,8.0225,-1.0765,1.5671,9.6206,0.6856,-1.6949,-1.6543,0.2967,-0.2046,0.2625,2001.9825,15.75,-13.41,-40.5,241.59,-9.2,6.38,5,990.12,49.97,46.16295,15.870756,732.84,NaN,,4.64,12.226105,220.1,17 / 25,15507,2022-07-26 08:29:35:775
-1.1755,1.7599,5.2816,0.3709,0.8314,9.7643,-0.836,0.0699,-3.0605,0.0281,0.1522,-0.5056,2454.975,15.24,-15.52,-39.39,232.39,-4.86,-2.18,5,990.09,50.558,46.16294,15.870737,727.79,NaN,,4.68,12.226105,226.7,18 / 25,16007,2022-07-26 08:29:36:275
0.5001,0.7651,7.9986,-0.8623,1.2665,9.6862,0.5702,-1.3346,-3.3753,0.8991,0.0646,0.7614,2657.0027,17.29,-9.56,-40.09,251.13,-7.42,5.09,5,990.14,47.772,46.16294,15.870737,727.79,NaN,,4.68,12.226105,226.7,18 / 25,16506,2022-07-26 08:29:36:774
-0.7783,2.272,6.0814,0.6484,0.9991,9.7341,-1.2204,0.4368,-4.2707,0.0698,0.0149,-0.2902,3674.9705,15.64,-14.46,-39.39,239.84,-5.05,-3.33,5,990.09,49.271,46.162933,15.870718,729.44,NaN,,4.9,12.226105,238.5,18 / 25,17006,2022-07-26 08:29:37:274
-0.1807,0.6957,4.8245,-1.0225,0.9803,9.7038,1.5769,-0.5411,-0.8388,0.1826,0.013,0.5105,4207.0054,17.25,-10.33,-40.86,245.69,-5.74,6.02,5,990.14,51.009,46.162933,15.870718,729.44,NaN,,4.9,12.226105,238.5,18 / 25,17508,2022-07-26 08:29:37:776
1.0989,0.7472,8.5549,0.544,0.4611,9.7807,0.3012,0.4864,-0.8159,-0.102,-0.6306,-0.1711,6070.0054,16.09,-12.69,-40.26,238.5,-2.69,-3.18,5,990.13,53.672,46.162926,15.8707,729.1,NaN,,4.86,12.226105,233.5,18 / 25,18007,2022-07-26 08:29:38:275
0.2357,0.198,6.3667,-0.645,0.8189,9.7511,1.6947,-0.4018,-2.0771,0.1749,0.3862,0.056,6682.028,15.56,-8.81,-41.23,246.72,-3.9,2.38,5,990.16,51.622,46.162926,15.8707,729.1,NaN,,4.86,12.226105,233.5,18 / 25,18507,2022-07-26 08:29:38:775
-0.7161,0.4923,8.0656,0.8404,0.6455,9.7492,-0.1854,-0.1768,3.2334,-0.2847,0.0218,-0.4694,8444.993,14.04,-13.59,-40.44,237.92,-6.34,-1.77,5,990.11,45.815,46.162914,15.870681,727.73,NaN,,4.93,12.226105,228.6,19 / 25,19006,2022-07-26 08:29:39:274
0.1436,-0.5958,9.4277,-0.5634,0.7487,9.7618,-2.0855,-0.9005,5.0097,0.7291,0.7254,0.373,7672.995,15.99,-8.04,-41.61,250.86,-4.38,3.3,5,990.18,52.132,46.162914,15.870681,727.73,NaN,,4.93,12.226105,228.6,19 / 25,19506,2022-07-26 08:29:39:774
