ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0407,2.4586,6.8692,-0.1447,0.7843,9.7742,1.4909,0.6741,2.4079,-1.0633,-1.4629,-0.276,13356.023,-12.88,11.19,-41.61,43.59,-4.59,0.85,5,990.84,25.082,46.16785,15.859864,867.13,NaN,,4.36,12.226105,36.5,17 / 25,18,2022-08-03 14:52:59:539
-0.149,-0.5133,9.4241,-0.776,-0.9879,9.7259,0.1766,-0.6484,2.3448,-0.7333,-0.2124,0.1972,15214.973,-15.77,17.03,-38.83,55.43,5.78,4.56,5,990.84,56.229,46.16785,15.859864,867.13,NaN,,4.36,12.226105,36.5,17 / 25,517,2022-08-03 14:53:00:038
-1.2263,-0.533,11.6076,-0.0032,-1.0417,9.7512,-1.7359,-2.6202,3.5951,-0.0044,-0.2866,-0.2809,26349.977,-11.51,21.73,-37.78,33.95,6.1,0.02,5,990.92,60.492,46.167854,15.859872,865.96,NaN,,4.61,12.226105,32.9,17 / 26,1017,2022-08-03 14:53:00:538
-1.9083,-3.0401,11.0303,-0.5753,-0.0655,9.7895,0.0598,-1.5438,2.7072,-0.8796,0.3493,0.7239,78846.01,-11.87,21.64,-37.56,33.15,0.38,3.36,5,990.85,62.319,46.167854,15.859872,865.96,NaN,,4.61,12.226105,32.9,17 / 26,1517,2022-08-03 14:53:01:038
0.987,-1.9759,11.6303,1.7471,-0.7442,9.621,2.5121,-1.5476,0.7192,-0.4867,0.0254,0.3251,80262.02,-9.37,26.16,-34.11,6.82,4.35,-10.29,5,990.85,55.281,46.16787,15.859879,868,NaN,,4.82,12.226105,18.7,18 / 26,2018,2022-08-03 14:53:01:539
-0.585,-3.0867,13.9956,0.0294,-0.9367,9.7618,-0.8707,0.4062,0.181,-0.8281,0.5227,1.5492,64462.027,-4.91,24.41,-36.94,13.5,5.48,-0.17,5,990.86,34.06,46.16787,15.859879,868,NaN,,4.82,12.226105,18.7,18 / 26,2518,2022-08-03 14:53:02:039
-0.9063,-1.5362,14.6417,0.3728,0.1677,9.7981,0.1279,-0.9187,2.4063,0.13,-0.1315,-0.1591,81013.03,2.68,26.19,-36.79,350.61,-0.98,-2.18,5,990.9,46.174,46.16788,15.859885,870.17,NaN,,4.64,12.226105,21.6,18 / 26,3017,2022-08-03 14:53:02:538
-2.3222,1.6977,11.8816,-1.1916,1.758,9.5739,-0.2369,0.6106,-2.4049,-0.1826,0.4082,0.9095,77506,3.38,17.21,-41.42,4.95,-10.33,7.09,5,990.9,34.061,46.16788,15.859885,870.17,NaN,,4.64,12.226105,21.6,18 / 26,3517,2022-08-03 14:53:03:038
0.1286,0.8919,11.2899,-1.1682,2.2128,9.482,0.3635,0.4717,-1.2613,0.6746,0.1084,0.2599,82368.02,11.49,15.3,-40.69,346.23,-13.04,7.02,5,990.91,32.861,46.16789,15.859888,869.08,NaN,,4.57,12.226105,10.7,18 / 26,4017,2022-08-03 14:53:03:538
-3.8327,2.1051,10.395,-1.2405,2.5085,9.3989,-0.4766,-0.4607,-2.004,0.2314,-0.0806,0.2794,78845,13.01,12.38,-41.21,341.46,-14.82,7.52,5,990.91,18.686,46.16789,15.859888,869.08,NaN,,4.57,12.226105,10.7,18 / 26,4517,2022-08-03 14:53:04:038
