ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0796,1.1492,13.2556,-0.0887,1.352,9.7126,-1.1607,1.1732,-0.1653,-0.5234,-0.5694,-0.1516,13092.976,14.81,13.07,-36.62,324.64,-9.88,2.07,5,991.27,37.788,46.16275,15.870377,737.74,NaN,,5.26,18.88204,316.1,16 / 25,7,2022-08-20 14:13:39:420
-2.3013,1.0558,17.455,-0.724,0.8298,9.7446,-1.1318,1.4381,1.6419,-0.6252,-1.4613,-0.4587,9738.022,14.38,12.04,-35.78,339.1,-8.69,11.23,5,991.24,41.128,46.16275,15.870377,737.74,NaN,,5.26,18.88204,316.1,16 / 25,506,2022-08-20 14:13:39:919
-1.3777,0.3811,13.9633,-0.4513,1.4974,9.6811,0.7807,0.299,-4.3984,-1.2097,0.0783,0.5665,16133.985,13.8,12.19,-36.53,332.13,-10.95,5.97,5,991.24,48.122,46.16276,15.870366,734.82,NaN,,4.9,15.262001,319.1,16 / 25,1007,2022-08-20 14:13:40:420
0.2596,-0.2818,10.416,-0.1982,0.2665,9.801,0.4516,0.2546,-2.5765,0.2104,-0.169,0.1537,16294.975,14.51,15.34,-35.25,320.12,-0.65,3.44,5,991.21,45.363,46.16276,15.870366,734.82,NaN,,4.9,15.262001,319.1,16 / 25,1507,2022-08-20 14:13:40:920
0.2841,1.8245,7.462,0.1993,0.9897,9.7545,0.3563,-0.2422,-2.547,0.4669,-0.1378,-0.1614,18879.008,14.04,14.91,-35.66,320.58,-2.9,0.3,5,991.22,43.603,46.16277,15.870353,736.46,NaN,,4.97,13.147271,323.7,17 / 24,2007,2022-08-20 14:13:41:420
-0.591,0.1507,9.5707,-1.5486,1.2872,9.5977,1.1387,-1.6602,-0.4402,0.3912,1.6936,0.8752,17639.979,14.23,13.14,-37.05,324.6,-5.28,3.56,5,991.24,40.534,46.16277,15.870353,736.46,NaN,,4.97,13.147271,323.7,17 / 24,2506,2022-08-20 14:13:41:919
0.0185,1.8024,6.6102,-0.957,1.3076,9.6719,0.0807,-0.9156,2.2274,0.3529,0.0916,-0.1463,16332.03,18.98,11.42,-35.46,315.56,-7.43,5.81,5,991.24,54.475,46.162777,15.870341,735.76,NaN,,5.08,13.124815,324.1,17 / 25,3006,2022-08-20 14:13:42:419
-0.3553,0.0814,9.0084,-0.676,1.5182,9.6648,-2.1112,-1.0692,1.765,-0.1418,-0.7929,0.6093,15105.016,16.95,11.14,-36.49,326.13,-9.75,8.33,5,991.25,42.055,46.162777,15.870341,735.76,NaN,,5.08,13.124815,324.1,17 / 25,3507,2022-08-20 14:13:42:920
0.8824,0.5402,9.3613,-1.0005,-0.6023,9.7369,-1.4207,-0.3896,4.5961,0.4498,-0.2479,0.0308,11859.008,16.54,16.09,-35.51,316.47,4.27,7,5,991.26,49.356,46.162785,15.870328,742.12,NaN,,5.15,12.666608,327.1,17 / 25,4007,2022-08-20 14:13:43:420
-2.2409,-1.3974,15.6544,-0.3005,0.277,9.7981,-1.6496,-0.334,4.2855,-0.5252,0.6298,0.6581,13378.973,13.97,20.31,-34.11,326.94,-3.58,-0.62,5,991.23,47.21,46.162785,15.870328,742.12,NaN,,5.15,12.666608,327.1,17 / 25,4506,2022-08-20 14:13:43:919
0.3649,-1.4758,13.6762,0.8431,0.428,9.761,0.994,0.005,1.2073,-0.5181,0.0359,-0.8354,16306.989,13.11,16.03,-37.01,322.55,-4.87,-2.46,5,991.24,46.254,46.162796,15.870322,740.4,NaN,,4.9,12.226105,332.8,17 / 25,5006,2022-08-20 14:13:44:419
-0.7531,1.5392,14.3204,0.4662,0.7552,9.7664,-1.2506,1.2774,-0.0827,-0.3646,-0.185,-0.0594,11535.008,9.36,16.35,-37.24,330.08,-5.09,-3.17,5,991.21,44.489,46.162796,15.870322,740.4,NaN,,4.9,12.226105,332.8,17 / 25,5507,2022-08-20 14:13:44:920
1.3454,-0.5521,10.5823,0.2431,0.4786,9.7919,1.3728,-0.4543,0.0727,0.014,-0.2367,-0.2998,10808.033,12.11,17.53,-36.09,332.47,-3.8,2.18,5,991.23,42.461,46.162807,15.870316,744.18,NaN,,5.04,12.226105,340.1,17 / 25,6007,2022-08-20 14:13:45:420
-1.0062,2.2738,10.0331,0.152,0.4195,9.7965,-1.0979,1.8868,-0.003,-0.3987,-0.2277,-0.0638,9733.028,11.81,18.41,-36.13,326.99,-2.47,-1.09,5,991.22,34.299,46.162807,15.870316,744.18,NaN,,5.04,12.226105,340.1,17 / 25,6507,2022-08-20 14:13:45:920
1.2245,0.4851,7.9286,0.1014,1.5158,9.6883,2.0389,-1.1966,-2.9329,-0.0207,0.502,-0.3854,10170.022,13.14,16.67,-36.51,329.24,-8.89,-0.6,5,991.23,40.483,46.162815,15.870313,745.33,NaN,,4.79,12.226105,342.5,18 / 26,7007,2022-08-20 14:13:46:420
-1.41,2.0052,8.4724,-0.383,0.4717,9.7878,0.3791,0.4088,-2.9349,0.604,-0.0926,-0.0646,6898.9727,14.55,15.47,-36.73,318.64,1.64,4.21,5,991.23,38.995,46.162815,15.870313,745.33,NaN,,4.79,12.226105,342.5,18 / 26,7506,2022-08-20 14:13:46:919
-0.0221,0.1729,5.8624,-1.0159,1.1657,9.684,0.7733,-1.5523,-2.6129,0.7892,0.0724,0.6127,6882.0303,14.64,18.56,-36.13,332.6,-2.71,6.61,5,991.23,44.818,46.162827,15.870307,745.36,NaN,,4.97,12.571468,338.1,19 / 26,8007,2022-08-20 14:13:47:420
0.5408,0.6114,7.9801,-0.4552,-0.7449,9.7677,-0.7267,0.2603,1.6219,0.6481,0.0325,-0.1547,6617.0254,14.08,18.36,-35.31,320.97,4.36,2.67,5,991.23,55.363,46.162827,15.870307,745.36,NaN,,4.97,12.571468,338.1,19 / 26,8507,2022-08-20 14:13:47:920
0.4971,-0.0203,7.2939,-0.975,0.1092,9.7574,-2.508,-2.5557,2.8519,0.2821,0.1012,0.6108,7480.0127,13.13,21.13,-34.99,332.62,-0.33,3.27,5,991.23,51.727,46.16284,15.870304,742.56,NaN,,4.75,12.226105,337.9,19 / 26,9007,2022-08-20 14:13:48:420
0.9918,0.4738,8.3982,-0.6177,-0.4272,9.7779,-0.9092,-1.0028,4.8705,0.0202,0.5856,-0.0028,8466.998,15.38,17.74,-35.74,320.29,1.33,1.2,5,991.23,44.862,46.16284,15.870304,742.56,NaN,,4.75,12.226105,337.9,19 / 26,9508,2022-08-20 14:13:48:921
-0.0012,0.8925,7.9657,-0.9859,0.5193,9.7431,-1.6687,-1.4848,5.1786,0.3146,0.3721,0.5705,8000.9785,14.38,18.02,-35.31,329.35,-3.56,3.3,5,991.23,41.072,46.16285,15.870296,742.18,NaN,,4.64,12.552071,335.8,18 / 26,10006,2022-08-20 14:13:49:419
-1.2173,-0.5892,14.7015,-0.2564,0.278,9.7994,0.46,-0.4946,0.7069,-0.3617,0.4182,-0.5304,8993.971,17.48,14.83,-35.64,314.95,-1.62,1.5,5,991.22,39.439,46.16285,15.870296,742.18,NaN,,4.64,12.552071,335.8,18 / 26,10507,2022-08-20 14:13:49:920
-1.7468,2.4221,13.1916,-0.5481,0.6592,9.7691,-0.8792,1.2524,2.7861,0.4336,0.3745,0.2318,10975.973,15.94,17.44,-35.57,324.32,-3.85,3.21,5,991.24,46.092,46.16286,15.870288,742.97,NaN,,5.11,14.497954,333.2,18 / 25,11007,2022-08-20 14:13:50:420
-1.4447,-1.2508,16.2718,-0.0849,0.1156,9.8056,0.4965,-0.0331,0.411,-0.7815,-0.5482,-0.3868,11983.006,16.41,14.51,-36.15,326.16,-7.15,4.57,5,991.23,43.844,46.16286,15.870288,742.97,NaN,,5.11,14.497954,333.2,18 / 25,11506,2022-08-20 14:13:50:919
-1.9256,0.731,12.2429,-0.1278,0.4041,9.7975,-0.6063,0.9334,2.2586,-0.1694,0.0248,-0.079,12350.003,13.89,18.62,-35.7,324.52,-2.34,-0.92,5,991.24,46.559,46.162872,15.870281,741.84,NaN,,5.11,13.184772,339.7,18 / 25,12006,2022-08-20 14:13:51:419
0.2243,0.0407,10.3926,-0.4421,0.8803,9.757,0.9383,-0.311,-4.0128,-0.3828,-0.2194,-0.1709,11920.973,14.76,17.12,-36.07,326.56,-5.15,2.59,5,991.23,43.228,46.162872,15.870281,741.84,NaN,,5.11,13.184772,339.7,18 / 25,12506,2022-08-20 14:13:51:919
-1.1097,0.5599,8.744,0.1066,0.3508,9.7998,0.4641,0.4821,-3.3324,0.4299,-0.357,-0.5666,11155.995,13.82,17.83,-35.79,323.39,0.89,1.66,5,991.23,38.928,46.162884,15.870277,740.93,NaN,,4.93,14.153225,347.5,18 / 25,13006,2022-08-20 14:13:52:419
0.4965,0.0185,8.9635,-0.5847,0.0022,9.7892,0.4874,-0.2834,-2.5545,0.4136,-0.2498,0.6865,9832.995,12.92,20.27,-34.57,331.65,2.1,4.73,5,991.23,37.971,46.162884,15.870277,740.93,NaN,,4.93,14.153225,347.5,18 / 25,13507,2022-08-20 14:13:52:920
-0.0449,1.4255,6.0191,-0.2143,0.2555,9.801,-0.8257,-0.4697,-2.7791,0.8879,0.1103,0.2654,8316,14.06,21.51,-34.28,325.54,4.23,1.14,5,991.23,44.727,46.162895,15.870273,741.03,NaN,,5.18,14.908801,351.5,18 / 26,14007,2022-08-20 14:13:53:420
0.5928,0.3547,5.4371,-0.5217,0.4736,9.7813,0.221,-0.082,-0.9297,0.737,0.2074,0.1189,6751.0127,13.99,19.01,-35.14,329.66,-2.77,3.05,5,991.23,45.883,46.162895,15.870273,741.03,NaN,,5.18,14.908801,351.5,18 / 26,14507,2022-08-20 14:13:53:920
-0.1143,0.1501,10.0983,-0.456,-0.3786,9.7887,0.4758,0.8787,-0.5418,-0.0557,0.0346,-0.129,5916.983,15.15,16.58,-35.62,317.19,2.41,1.08,5,991.23,43.218,46.162907,15.870267,740.79,NaN,,5.04,16.729876,343.7,18 / 26,15006,2022-08-20 14:13:54:419
-0.0993,0.2076,6.8393,-0.9893,0.6158,9.7372,-0.9211,-1.0352,0.6169,0.4967,0.0015,0.8124,4621.995,12.23,19.22,-35.03,334.34,-1.34,4.01,5,991.23,36.805,46.162907,15.870267,740.79,NaN,,5.04,16.729876,343.7,18 / 26,15507,2022-08-20 14:13:54:920
1.6325,0.7753,7.8975,-0.3976,-0.0672,9.7984,0.7864,-0.4335,0.7433,0.2281,0.5043,0.2009,5116.028,13.73,15.49,-36.02,314.83,0.58,-1.16,5,991.23,35.905,46.16292,15.870261,738.67,NaN,,5,20.164965,337.9,18 / 26,16007,2022-08-20 14:13:55:420
-1.4925,0.3535,9.0335,-0.4861,0.7016,9.7694,-1.208,1.0847,1.9187,0.2065,0.3168,0.8242,4153.0054,14.04,17.16,-35.29,327.89,-4.1,2.85,5,991.23,41.683,46.16292,15.870261,738.67,NaN,,5,20.164965,337.9,18 / 26,16506,2022-08-20 14:13:55:919
-1.7103,-1.3017,16.197,-0.3216,0.0199,9.8014,1.041,0.2362,2.4659,-0.5334,-0.3341,-0.4963,5446.98,16.86,14.49,-35.1,320.1,-4.61,4.66,5,991.24,37.376,46.162933,15.870254,739.23,NaN,,5.22,23.42772,339.2,17 / 26,17007,2022-08-20 14:13:56:420
-3.3715,-1.2042,13.7396,-0.431,0.4077,9.7887,-1.6759,1.2225,2.7349,-0.3034,0.1619,-0.0572,5417.0103,14.53,15.96,-34.07,321.92,-4.34,0.79,5,991.22,33.965,46.162933,15.870254,739.23,NaN,,5.22,23.42772,339.2,17 / 26,17507,2022-08-20 14:13:56:920
0.2004,-0.4744,13.928,-0.3068,0.1133,9.8012,0.7187,-0.2712,1.6168,-0.7914,-0.2551,-0.4183,6423.0303,14.85,16.65,-34.37,329.84,-7.65,4.15,5,991.21,33.11,46.162945,15.870247,739.2,NaN,,5.33,22.015268,338.7,17 / 26,18006,2022-08-20 14:13:57:419
-3.7723,0.6879,14.3055,-0.4825,0.7568,9.7655,-0.9006,0.9114,-2.2496,-0.5156,0.209,0.4331,6580.9805,13.43,18.24,-34.73,331.45,-4.43,2.83,5,991.23,39.339,46.162945,15.870247,739.2,NaN,,5.33,22.015268,338.7,17 / 26,18506,2022-08-20 14:13:57:919
0.8698,-0.7663,11.7631,-0.8484,1.0936,9.7085,0.6604,-0.5532,-2.7365,-0.0661,-0.2444,0.2116,7686.0234,15.11,17.33,-34.78,334.63,-7.21,7.69,5,991.22,40.242,46.16296,15.87024,736.52,NaN,,5.4,21.433563,337.6,18 / 27,19007,2022-08-20 14:13:58:420
-1.6618,2.1182,12.0473,-0.9783,1.0676,9.6991,-0.8756,0.2557,-0.9931,0.2989,0.3594,0.3892,9650.003,15.83,17.29,-35.25,323.69,-3.15,3.36,5,991.22,37.602,46.16296,15.87024,736.52,NaN,,5.4,21.433563,337.6,18 / 27,19506,2022-08-20 14:13:58:919
0.2584,0.7035,9.1143,-0.9103,0.8674,9.7257,0.7127,-0.2121,-3.2444,0.1162,-0.2381,0.1222,12040.988,16.82,17.03,-34.89,329.85,-5.08,8.34,5,991.22,35.315,46.162968,15.870222,734.16,NaN,,5.18,20.226624,328.6,18 / 27,20006,2022-08-20 14:13:59:419
-1.3418,1.6935,6.5874,-0.6148,0.5357,9.7727,0.9608,0.1448,-2.6289,0.1989,-0.5518,-0.5434,15131.003,15.51,17.68,-34.99,325.36,-3.13,3.6,5,991.22,38.693,46.162968,15.870222,734.16,NaN,,5.18,20.226624,328.6,18 / 27,20507,2022-08-20 14:13:59:920
0.6239,0.5821,6.8237,-0.6803,1.3647,9.6874,1.0474,-1.523,-3.032,0.6851,-0.2121,0.7907,18492.031,12.88,16.74,-36.23,334.56,-8,4.02,5,991.21,36.31,46.162975,15.870202,731.64,NaN,,5.18,19.033518,321.7,18 / 27,21007,2022-08-20 14:14:00:420
0.7167,1.1414,7.4381,0.4253,0.5549,9.7817,0.4055,0.2877,-1.3557,0.5134,-0.1565,-0.5237,20253.982,13.29,14.18,-36.49,314.99,0.7,-0.91,5,991.21,40.922,46.162975,15.870202,731.64,NaN,,5.18,19.033518,321.7,18 / 27,21506,2022-08-20 14:14:00:919
0.5151,0.5486,6.399,-0.7777,0.9572,9.7288,-2.0985,-2.3449,4.843,0.42,0.535,0.6878,25867.014,7.61,18.34,-36.39,346.63,-5.6,4.57,5,991.22,39.328,46.162983,15.870183,732.48,NaN,,5.11,17.953371,317.7,18 / 27,22007,2022-08-20 14:14:01:420
0.8991,1.5697,8.4203,-0.2131,-0.0859,9.804,-1.1667,-0.4211,6.3161,0.622,0.0699,-0.3187,28925.033,14.18,14.1,-36.41,316,0.5,1.25,5,991.22,40.31,46.162983,15.870183,732.48,NaN,,5.11,17.953371,317.7,18 / 27,22507,2022-08-20 14:14:01:920
-0.4816,0.5049,7.3274,-1.1285,0.6238,9.7215,-1.524,-0.7208,4.11,-0.1729,0.5835,0.5532,28975.996,11.78,17.72,-36.43,333.91,-5.45,2.42,5,991.22,45.158,46.16299,15.870165,737.17,NaN,,5.15,13.444028,319.5,18 / 27,23007,2022-08-20 14:14:02:420
-2.8307,-1.477,14.8893,-0.5747,-0.3945,9.7818,-1.1534,-0.437,4.2202,-0.7292,0.1245,-0.5253,31959.023,15.3,16.71,-35.93,322.64,-1.54,2.02,5,991.21,39.369,46.16299,15.870165,737.17,NaN,,5.15,13.444028,319.5,18 / 27,23506,2022-08-20 14:14:02:919
-1.4315,0.2512,7.6941,-0.4267,0.2426,9.7944,-1.3092,1.4805,1.2327,0.0731,0.2857,0.5323,31425.031,15.13,18.36,-34.65,324.5,-1.42,2.49,5,991.23,36.038,46.163,15.870142,737.42,NaN,,5.36,12.226105,323.3,18 / 27,24006,2022-08-20 14:14:03:419
-1.9298,-0.947,16.2652,-0.2402,0.1966,9.8017,0.9957,0.2248,0.5861,-0.4869,0.0556,-0.5479,33526.98,17.55,15.28,-35.4,312.51,-1.15,1.4,5,991.21,33.748,46.163,15.870142,737.42,NaN,,5.36,12.226105,323.3,18 / 27,24506,2022-08-20 14:14:03:919
-2.4048,0.4786,13.8503,-1.1904,0.315,9.729,-1.2646,1.115,0.9805,-0.1739,-0.3745,0.4249,32289.031,19.22,18.28,-33.53,322.34,-1.48,7.17,5,991.21,39.95,46.163013,15.870123,739.64,NaN,,5.33,12.226105,321.4,18 / 27,25006,2022-08-20 14:14:04:419
-0.0718,-0.6413,9.2339,-0.9509,-0.3177,9.7553,0.6512,-0.0524,-0.9973,-0.1458,-0.1268,-0.1101,34254.023,20.08,17.87,-33.07,319.05,0.4,7.69,5,991.21,36.526,46.163013,15.870123,739.64,NaN,,5.33,12.226105,321.4,18 / 27,25507,2022-08-20 14:14:04:920
-1.9304,1.1647,12.4708,-0.4339,0.4763,9.7855,0.3479,-0.0905,-3.2086,-0.1642,-0.2406,0.0738,33334,16.69,19.74,-33.24,324.32,-2.78,2.54,5,991.22,33.982,46.163025,15.870106,739.78,NaN,,5.26,12.226105,322.3,18 / 27,26007,2022-08-20 14:14:05:420
-0.7286,0.0975,9.5432,-0.3687,0.3518,9.7934,1.3339,-0.0842,-2.8745,0.7256,-0.067,0.4604,34016.02,9.11,16.69,-33.62,337.05,-2.06,2.16,5,991.23,44.166,46.163025,15.870106,739.78,NaN,,5.26,12.226105,322.3,18 / 27,26506,2022-08-20 14:14:05:919
-0.39,1.328,7.5607,-0.228,0.6988,9.7791,1.0198,-0.0868,-2.7611,0.4144,0.3797,-0.1181,30912.977,4.93,14.76,-34.37,345.51,-0.96,1.64,5,991.21,36.49,46.163033,15.870092,739.74,NaN,,5.33,12.226105,321.1,18 / 27,27006,2022-08-20 14:14:06:419
0.2656,0.2961,5.9013,-0.6829,1.0211,9.7294,0.062,-1.2199,-3.0225,0.37,0.0266,0.6849,29452.006,8.19,14.01,-35.34,343.27,-4.45,4.83,5,991.21,33.872,46.163033,15.870092,739.74,NaN,,5.33,12.226105,321.1,18 / 27,27506,2022-08-20 14:14:06:919
0.3446,1.6002,5.9037,-0.3138,0.0264,9.8016,-0.1316,-0.1635,1.1298,0.3636,0.3497,-0.1123,29654.031,14.83,14.08,-36.15,315.53,-0.15,1.83,5,991.21,36.405,46.16304,15.870079,738.56,NaN,,5.33,12.226105,321.4,18 / 27,28006,2022-08-20 14:14:07:419
-0.0461,0.4989,4.1827,-0.3158,1.489,9.6878,-0.847,-1.8787,2.8025,0.8031,0.2543,0.461,28757.97,16.13,13.84,-36.13,322.6,-8.73,1.87,5,991.22,33.703,46.16304,15.870079,738.56,NaN,,5.33,12.226105,321.4,18 / 27,28507,2022-08-20 14:14:07:920
0.8614,0.3165,8.9653,-0.9397,-0.6484,9.74,-1.734,-0.813,3.3636,-0.0761,0.2979,0.2421,29598.006,17.59,12.26,-35.93,303.28,2.41,3.31,5,991.21,38.704,46.16305,15.870065,739.58,NaN,,5.47,12.226105,319.4,18 / 27,29007,2022-08-20 14:14:08:420
-2.3827,-1.3011,12.32,-0.9374,0.3494,9.7555,-2.1455,-2.7201,4.8798,0.1138,0.4491,0.9416,27803.994,16.54,17.08,-33.98,321.11,-4.19,2.14,5,991.21,36.825,46.16305,15.870065,739.58,NaN,,5.47,12.226105,319.4,18 / 27,29507,2022-08-20 14:14:08:920
0.0628,0.8148,15.6939,0.7911,0.6519,9.7529,0.2876,-0.1084,1.5922,-0.2138,0.6512,-0.4543,26361.99,16.37,11.01,-36.47,305.14,-3.81,-4.64,5,991.23,50.667,46.16306,15.87005,739.51,NaN,,5.51,12.226105,315.1,18 / 27,30007,2022-08-20 14:14:09:420
-2.8499,-1.0726,11.9492,-0.2576,0.8216,9.7688,-0.3894,1.3069,1.463,-0.3044,-0.0895,0.2545,25942.006,15.98,13.2,-35.89,316.77,-4.81,1.51,5,991.2,37.236,46.16306,15.87005,739.51,NaN,,5.51,12.226105,315.1,18 / 27,30506,2022-08-20 14:14:09:919
1.6068,0.2674,14.2247,0.1087,0.0231,9.806,0.4327,-0.2305,2.2326,-0.3917,-0.0385,-0.5463,27834.977,18.17,13.43,-35.16,310.12,-3.25,0.38,5,991.21,34.555,46.163067,15.870035,738.73,NaN,,5.4,12.226105,309.9,15 / 26,31007,2022-08-20 14:14:10:420
-1.1139,0.9739,13.2203,-0.0799,0.3701,9.7993,-0.364,1.2124,2.0038,-0.1835,0.0707,-0.2189,27440.979,15.62,15.19,-35.01,314.9,-2.68,-1.09,5,991.21,44.457,46.163067,15.870035,738.73,NaN,,5.4,12.226105,309.9,15 / 26,31506,2022-08-20 14:14:10:919
0.6419,0.1573,10.1222,-0.5048,0.5714,9.777,0.9231,0.1441,-2.951,-0.3624,-0.485,-0.2625,27516.986,15.75,14.91,-34.16,320.08,-3.34,2.96,5,991.2,38.914,46.16307,15.870019,738.85,NaN,,5.18,12.226105,307.6,14 / 26,32006,2022-08-20 14:14:11:419
-1.873,1.2843,12.8052,-0.1839,0.4873,9.7928,0.0073,0.6514,-3.7119,0.2686,-0.1549,-0.3574,28127.994,14.7,15.79,-33.88,320.92,-2.85,1.08,5,991.2,44.551,46.16307,15.870019,738.85,NaN,,5.18,12.226105,307.6,14 / 26,32506,2022-08-20 14:14:11:919
0.0843,-0.0712,9.4457,-0.4887,0.9325,9.75,0.791,-0.4034,-3.3643,0.2935,-0.281,0.3135,27616.006,15.43,15.81,-33.49,326.51,-3.48,5.21,5,991.2,44.051,46.16308,15.870005,741.97,NaN,,4.57,12.226105,314.3,14 / 26,33006,2022-08-20 14:14:12:419
-1.066,1.855,7.7318,-0.2322,0.5886,9.7862,-0.7947,0.815,-2.8954,0.1773,-0.1203,-0.0334,28948.996,14.87,14.01,-33.92,315.78,-1.11,1.23,5,991.2,47.226,46.16308,15.870005,741.97,NaN,,4.57,12.226105,314.3,14 / 26,33507,2022-08-20 14:14:12:920
