ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7041,-0.3996,13.7587,-0.4209,1.331,9.7068,0.4655,1.1957,0.3801,-1.2297,-0.7415,0.4363,2750.0176,-28.84,-28.76,-34.29,123.2,-13.53,5.08,5,994.68,11.26,46.168446,15.86041,909.79,NaN,,6.37,58.17085,146.9,Jun-13,14,2022-07-19 19:24:35:320
-0.8219,3.0012,10.9346,-1.1275,2.3219,9.4609,-0.5746,0.0786,0.0108,-0.0432,-0.1226,-0.7983,2875.9727,-27.96,-24.06,-35.57,116,-13.7,6.8,5,994.68,9.241,46.16826,15.860711,1071.54,NaN,,4.82,48.95031,131.2,Nov-15,514,2022-07-19 19:24:35:820
-0.1196,-0.2213,12.9547,-1.199,1.3588,9.6378,-0.7581,1.1262,-1.3153,0.7217,0.15,-0.0771,2902.0276,-15.3,-21.66,-36.77,136.08,-4.14,5.82,5,994.66,11.392,46.16826,15.860711,1071.54,NaN,,4.82,48.95031,131.2,Dec-21,1014,2022-07-19 19:24:36:320
-0.3637,1.456,9.454,-0.8536,0.8586,9.7316,0.1982,0.5485,-2.6864,0.5376,-0.2657,0.1145,2961.0227,-17.91,-17.57,-39.09,128.88,-0.22,6.27,5,994.68,31.631,46.16826,15.860711,1071.54,NaN,,4.82,48.95031,131.2,Dec-21,1514,2022-07-19 19:24:36:820
-0.4546,2.8122,10.3723,-1.0553,1.0703,9.6908,0.0357,0.6298,-2.8231,0.3611,0.088,0.0236,2918.9702,-21.21,-18.15,-39.26,122.93,-3.2,5.4,5,994.69,10.654,46.1684,15.860429,887.18,NaN,,6.19,16.160307,134.8,0 / 22,2014,2022-07-19 19:24:37:320
-0.3906,1.5356,8.2241,-0.8948,0.5514,9.7502,-0.8129,0.0507,-2.207,0.1503,-0.2598,-0.292,2967.975,-19.67,-17.08,-38.36,122.58,-3.22,5.24,5,994.68,11.581,46.1684,15.860429,887.18,NaN,,6.19,16.160307,134.8,0 / 22,2515,2022-07-19 19:24:37:821
-0.5043,1.9178,7.7055,-1.0479,-0.1366,9.7495,0.5825,1.5664,-2.8418,0.2415,0.3766,0.301,2864.9702,-19.91,-14.94,-38.93,125,2.35,5.37,5,994.69,9.89,46.168392,15.860443,887.09,NaN,,5.15,14.014381,139.5,15 / 22,3014,2022-07-19 19:24:38:320
0.1358,-0.1161,8.26,-0.4366,0.2495,9.7937,0.2206,-0.2676,-2.6834,-0.0598,-0.3112,0.1706,2979.9902,-22.07,-11.7,-39.98,113.89,-1.16,4.92,5,994.63,18.099,46.168392,15.860443,887.09,NaN,,5.15,14.014381,139.5,15 / 22,3514,2022-07-19 19:24:38:820
-0.8016,1.7725,7.0193,-0.2021,0.3339,9.7989,0.3867,0.8238,-1.3375,-0.1118,0.432,-0.0772,2830.0051,-25.84,-19.91,-36.51,127.61,-0.96,-1.33,5,994.73,11.768,46.168373,15.860461,892.99,NaN,,5.65,13.415281,136.9,15 / 23,4014,2022-07-19 19:24:39:320
-0.795,1.0295,6.2297,-0.3862,0.6072,9.7802,-0.3855,-1.022,-1.2634,0.7476,0.1339,0.4921,2871.9902,-20.36,-18.9,-38.94,127.64,-3.55,2.26,5,994.64,12.493,46.168373,15.860461,892.99,NaN,,5.65,13.415281,136.9,15 / 23,4514,2022-07-19 19:24:39:820
