ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3966,2.0943,9.6185,0.1552,0.9126,9.7629,0.5383,0.8412,-1.2033,0.586,0.687,-0.0208,407.025,245.94,-699.11,-114.81,199.93,-5.62,-1.16,5,994.83,8.74,46.16273,15.870962,736.45,NaN,,,151.13872,,02-Feb,4,2022-08-01 07:36:18:897
-0.7089,1.4429,12.938,-1.4965,1.6608,9.5484,-0.0103,0.2403,-2.6652,-0.4145,0.1516,-0.1852,438.0075,249.36,-699.26,-115.2,199.31,-11.41,8.34,5,994.82,15.949,46.16273,15.870962,736.45,NaN,,,151.13872,,0 / 9,505,2022-08-01 07:36:19:398
-1.3603,2.6644,8.5268,-1.3386,1.6904,9.5667,0.8557,0.1519,-0.8343,-0.711,0.062,0.0138,402.975,247.73,-703.03,-112.69,199.49,-12.88,7.51,5,994.83,21.224,46.16273,15.870962,736.45,NaN,,,151.13872,,0 / 9,1005,2022-08-01 07:36:19:898
-0.1729,0.414,5.6997,-0.2628,0.2298,9.8004,-0.9582,0.4325,-2.8596,-0.518,-0.5202,-2.00E-04,447.9976,241.95,-699.37,-115.39,198.65,-5.42,5.24,5,994.89,25.36,46.16298,15.870709,711.3,NaN,,4.68,36.41354,262.2,0 / 16,1505,2022-08-01 07:36:20:398
0.932,-0.2423,9.5444,0.0382,-0.1766,9.805,-1.3138,-1.5637,2.7928,0.6357,-0.6072,-0.6156,450.0225,240.68,-692.01,-119.68,199.21,1.46,-0.53,5,994.83,28.942,46.16298,15.870709,711.3,NaN,,4.68,36.41354,262.2,0 / 16,2004,2022-08-01 07:36:20:897
-2.1123,2.6907,6.8249,-1.4534,3.2237,9.1469,-0.0151,-0.5498,1.3259,0.6758,0.9095,0.5739,406.0125,246.75,-696.88,-117.39,199.84,-12.98,5.94,5,994.74,14.06,46.16298,15.870709,711.3,NaN,,4.68,36.41354,262.2,13 / 16,2505,2022-08-01 07:36:21:398
1.2855,-0.0048,13.2042,-0.0256,0.7299,9.7794,0.4748,-0.9303,3.5549,-0.3241,0.3401,-0.1115,456.975,237.34,-703.29,-115.8,199.09,-5.43,-0.76,5,994.86,18.449,46.16298,15.870709,711.3,NaN,,4.68,36.41354,262.2,13 / 16,3004,2022-08-01 07:36:21:897
-0.6604,1.6762,13.0373,-0.2759,1.7925,9.6375,-0.6012,0.7731,2.0008,-0.5597,-0.0664,0.3803,413.0325,241.52,-699.43,-117.39,200.16,-11.9,-0.14,5,994.84,11.033,46.162926,15.870666,706.67,NaN,,9.22,30.512304,208.1,13 / 16,3506,2022-08-01 07:36:22:399
0.3852,1.2879,12.6796,0.0907,1.4223,9.7025,0.0471,0.2153,0.3642,-0.2965,-0.0535,-0.7361,503.01,246.24,-699.21,-116.68,200.05,-8.81,0.25,5,994.81,9.069,46.162926,15.870666,706.67,NaN,,9.22,30.512304,208.1,13 / 16,4004,2022-08-01 07:36:22:897
-1.7838,3.1968,10.0331,-0.6429,2.0555,9.5672,1.0688,1.6759,-1.317,-0.1859,0.0148,-0.6915,565.9876,247.95,-698.36,-116.32,200.16,-10.68,2.21,5,994.9,10.439,46.16292,15.870654,693.98,NaN,,8.06,22.25544,200.4,13 / 16,4506,2022-08-01 07:36:23:399
1.2018,1.1186,10.5727,-0.0769,1.1304,9.741,0.8194,0.1835,-0.6148,0.0955,-0.1328,-0.1655,672.0301,249.98,-698.57,-116.1,199.64,-5.81,3.05,5,994.77,19.993,46.16292,15.870654,693.98,NaN,,8.06,22.25544,200.4,13 / 16,5005,2022-08-01 07:36:23:898
-0.4594,2.68,9.0855,-0.7949,1.3521,9.6804,0.8112,-0.4745,-2.698,-0.1949,-0.4179,-0.1343,720.0225,248.49,-698.1,-116.44,199.46,-7.93,4.69,5,994.79,18.643,46.16291,15.870641,705.72,NaN,,5.8,17.514212,218.6,13 / 17,5504,2022-08-01 07:36:24:397
-0.3799,1.8718,5.0985,-1.2068,1.9369,9.5374,0.9347,-1.2515,-2.3442,-0.2463,-0.4517,0.1161,769.9726,249.96,-700.41,-114.94,199.75,-11.92,6.5,5,994.8,16.119,46.16291,15.870641,705.72,NaN,,5.8,17.514212,218.6,13 / 17,6006,2022-08-01 07:36:24:899
-1.5793,1.0528,6.1436,-0.9721,0.9075,9.7161,0.5203,-0.3408,-2.7249,0.2404,0.0778,-0.1445,1175.9851,248.63,-699.64,-115.18,198.88,-4.08,6.11,5,994.78,12.077,46.16291,15.870627,708.16,NaN,,4.82,15.959147,232.6,13 / 19,6505,2022-08-01 07:36:25:398
-0.3571,0.7053,5.8678,-0.542,0.6471,9.7703,1.5484,-0.2651,-2.6637,0.2845,0.2148,0.2989,1529.01,249.34,-693.77,-117.79,199.48,-2.34,2.59,5,994.82,10.495,46.16291,15.870627,708.16,NaN,,4.82,15.959147,232.6,13 / 19,7005,2022-08-01 07:36:25:898
