ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2913,1.9101,8.7751,-0.4389,1.2957,9.7108,0.5832,0.4923,-1.6379,0.0976,0.3265,-0.0247,0,14.1,18.47,-43.89,333.18,-7.59,2.59,5,991.04,36.625,46.1628,15.870463,727.32,NaN,,2.74,12.226105,313.3,23 / 24,4,2022-08-22 20:29:08:339
0.0951,0.2913,9.2949,-0.2571,0.4101,9.7947,-0.3156,-0.8938,-0.5868,0.0432,0.0978,0.1346,0,11.23,20.08,-44.1,334.44,-0.87,1.45,5,991.09,34.744,46.1628,15.870463,727.32,NaN,,2.74,12.226105,313.3,23 / 24,505,2022-08-22 20:29:08:840
1.1629,1.386,6.1519,0.0842,0.234,9.8035,-0.0166,0.0203,0.6448,0.0696,-0.145,-0.3493,0,9.56,21.02,-43.69,334.79,-1.37,-0.49,5,991.03,37.75,46.162815,15.870449,726.54,NaN,,4.54,12.226105,321.4,23 / 24,1003,2022-08-22 20:29:09:338
-0.3553,0.0915,10.1222,-0.0748,0.4984,9.7937,-0.6999,-1.0856,1.9223,-0.0684,0.0867,0.2817,0,7.65,21.04,-44.34,341.73,-2.91,0.44,5,991.07,34.885,46.162815,15.870449,726.54,NaN,,4.54,12.226105,321.4,23 / 24,1504,2022-08-22 20:29:09:839
1.3131,0.414,10.3029,0.3999,-0.0045,9.7985,-0.231,0.0058,2.0045,-0.0744,0.2443,-0.3047,0,9.39,18.26,-44.85,328.94,0.03,-2.34,5,991.05,36.897,46.162827,15.870435,725.48,NaN,,4.5,12.75082,323.3,22 / 24,2004,2022-08-22 20:29:10:339
0.3242,-0.387,9.7723,-0.6415,-0.0694,9.7854,-1.6043,-1.504,2.512,-0.6229,0.0705,-0.2129,0,8.42,20.74,-44.29,338.48,-1.06,-0.78,5,991.06,40.554,46.162827,15.870435,725.48,NaN,,4.5,12.75082,323.3,22 / 24,2504,2022-08-22 20:29:10:839
-1.3478,-0.7896,13.014,0.1339,-0.0353,9.8057,0.7053,-0.7549,1.0356,-0.5709,-0.2536,-0.8232,0,11.36,21.56,-43.52,332.03,0.21,-0.78,5,991.05,49.343,46.16284,15.870425,727.92,NaN,,4.5,14.140348,327.9,22 / 24,3004,2022-08-22 20:29:11:339
-2.7517,0.0736,15.1089,-0.2862,0.0672,9.8022,-1.0202,1.7615,1.2307,-0.5823,-0.1365,-0.1883,0,10.56,22.54,-43.18,337.31,-0.39,1.67,5,991.04,39.031,46.16284,15.870425,727.92,NaN,,4.5,14.140348,327.9,22 / 24,3505,2022-08-22 20:29:11:840
0.1615,-1.139,10.4142,-0.2818,-0.0045,9.8026,0.502,-0.6847,-0.1647,-0.5906,-0.7879,-0.2468,0,12.32,21.06,-42.49,332.79,0.03,1.65,5,991.04,39.637,46.16285,15.870413,725.56,NaN,,4.54,15.894256,325.6,23 / 24,4003,2022-08-22 20:29:12:338
-1.4417,-0.3009,12.6521,-0.0889,-0.6468,9.7849,-1.2742,0.9491,-0.5718,0.0247,0.0531,-0.6039,0,8.38,22.29,-42.02,338.62,3.59,0.59,5,991.04,37.836,46.16285,15.870413,725.56,NaN,,4.54,15.894256,325.6,23 / 24,4503,2022-08-22 20:29:12:838
