ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.4582,2.7715,9.0245,0.279,2.049,9.5861,0.6235,0.7969,-3.319,-0.223,0.3287,-0.4074,0,13.18,-21.86,-39.58,226.69,-9.82,-4.28,5,989.44,18.277,46.163074,15.870971,714.29,NaN,,4.97,12.226105,228.7,22 / 26,8,2022-08-17 20:42:42:496
-2.2672,1.9226,7.3848,0.2926,1.4543,9.6938,1.5717,0.0254,2.0679,0.2437,0.3419,0.1544,0,14.23,-22.22,-39.43,223.41,-8.53,-1.73,5,989.45,21.251,46.163074,15.870971,714.29,NaN,,4.97,12.226105,228.7,22 / 26,508,2022-08-17 20:42:42:996
0.5725,-0.7884,9.7747,0.994,0.791,9.724,0.563,-0.1763,-2.7483,-1.8193,0.2417,-0.5608,0,13.33,-17.33,-41.94,231.51,-4.63,-5.84,5,989.52,20.372,46.163067,15.870959,714.33,NaN,,5.08,12.226105,226.9,21 / 26,1007,2022-08-17 20:42:43:495
0.4415,0.0335,8.8056,0.0621,0.428,9.7971,0.3705,-0.0093,-1.4663,0.0881,-0.4738,0.0783,0,13.65,-10.61,-43.35,237.57,-2.51,-0.45,5,989.46,33.281,46.163067,15.870959,714.33,NaN,,5.08,12.226105,226.9,21 / 26,1508,2022-08-17 20:42:43:996
1.1462,0.7759,9.4421,0.5092,0.0955,9.793,0.7639,0.2283,-1.0376,-0.059,0.0628,-0.3929,0,13.28,-12.49,-42.81,240.38,-1.95,-7.7,5,989.49,39.553,46.16306,15.870945,714.88,NaN,,4.93,12.226105,232.2,21 / 26,2007,2022-08-17 20:42:44:495
1.2413,-0.1155,9.7053,-0.9518,0.2361,9.7575,-0.2111,0.1266,2.3453,0.0241,-0.5046,0.6297,0,17.38,-10.69,-41.23,232.37,-1.38,5.57,5,989.49,36.215,46.16306,15.870945,714.88,NaN,,4.93,12.226105,232.2,21 / 26,2508,2022-08-17 20:42:44:996
-1.1276,-0.3817,11.2977,0.2588,-0.2776,9.7993,0.4614,-0.3906,0.7924,-0.8167,-0.1055,-1.1465,0,17.48,-11.19,-41.16,236.11,1.62,-1.51,5,989.48,30.042,46.16305,15.87093,716.51,NaN,,5.08,12.226105,240.7,21 / 26,3008,2022-08-17 20:42:45:496
-2.9097,-1.3424,15.2435,-0.2648,0.3336,9.7974,0.3098,0.2056,1.1472,-0.8455,-0.2173,-0.219,0,16.59,-9.39,-41.32,246.58,-2.92,1.56,5,989.46,23.276,46.16305,15.87093,716.51,NaN,,5.08,12.226105,240.7,21 / 26,3507,2022-08-17 20:42:45:995
0.4307,0.0389,12.1777,0.2898,0.0185,9.8023,0.2629,-0.0655,1.9913,0.0122,-0.0989,-0.3008,0,13.97,-11.98,-42.68,230.62,0,-0.82,5,989.44,11.58,46.163044,15.870915,718.45,NaN,,5,12.226105,236.7,20 / 26,4007,2022-08-17 20:42:46:495
-0.012,-0.1125,11.6788,-0.2633,-0.0029,9.8031,-0.3296,1.1258,-1.5703,-0.5934,0.4957,-0.2111,1.0125,14.55,-12.22,-42.22,229.1,0.02,1.54,5,989.45,16.274,46.163044,15.870915,718.45,NaN,,5,12.226105,236.7,20 / 26,4508,2022-08-17 20:42:46:996
0.9033,-0.4869,10.8778,-0.6925,-0.2775,9.7782,0.1806,-0.3588,-0.9745,0.2987,-0.8845,0.297,2.025,16.48,-11.23,-40.78,226.99,1.62,4.05,5,989.43,16.146,46.163036,15.8709,718.1,NaN,,4.97,12.226105,236.6,20 / 26,5008,2022-08-17 20:42:47:496
