ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6461,0.7107,10.9687,-0.3983,1.2866,9.7137,0.1776,1.2469,-0.746,-0.7398,-0.4183,-0.3393,34119.97,-18.04,14.68,-42.04,44.18,-7.54,2.35,5,991.12,38.398,46.16788,15.859878,842.4,NaN,,0,27.394327,,16 / 22,5,2022-08-04 09:03:34:980
0.3924,1.9974,8.3414,-0.3786,1.9449,9.6044,0.3983,-0.2501,-0.266,-0.6012,0.0706,0.2383,23868,-16.84,12.02,-42.9,42.83,-11.44,2.26,5,991.17,50.564,46.167854,15.859859,856.11,NaN,,0,25.073788,,16 / 22,506,2022-08-04 09:03:35:481
-1.3131,-0.1382,11.1153,-0.3534,0.1379,9.7993,-0.3657,-0.1615,1.6713,0.6019,0.0706,1.0352,43363.016,-13.97,16.76,-41.16,40.11,-0.84,1.15,5,991.21,48.34,46.167854,15.859859,856.11,NaN,,0,25.073788,,16 / 22,1006,2022-08-04 09:03:35:981
-2.4473,-0.81,12.9308,-0.0975,0.4991,9.7935,0.4385,-0.6247,-2.2343,0.2226,-0.2427,-0.5169,42501.984,-6.52,22.78,-39.99,16.48,-2.92,0.57,5,991.2,44.512,46.167854,15.859872,867.32,NaN,,5.76,17.699959,10.3,16 / 22,1506,2022-08-04 09:03:36:481
0.1274,0.0245,13.8838,0.4562,0.6018,9.7775,-0.8397,0.2625,-1.1604,0.3004,0.6484,0.4168,29168.979,-8.62,21.49,-40.33,16.91,-3.52,-2.67,5,991.2,48.197,46.167854,15.859872,867.32,NaN,,5.76,17.699959,10.3,16 / 22,2006,2022-08-04 09:03:36:981
0.6802,1.2144,11.9145,-0.3693,0.4752,9.7882,-1.0885,-1.5938,3.3066,0.2882,-0.2343,-0.3327,47317.03,-8.12,20.25,-40.76,23.49,-2.78,2.16,5,991.32,44.177,46.16788,15.859892,888.75,NaN,,4.79,15.161324,16.8,16 / 22,2506,2022-08-04 09:03:37:481
-0.6479,0.1107,11.8804,-0.3503,0.7015,9.7753,-0.0948,-0.0648,-0.4541,0.118,-0.0648,0.8003,35710,-10.52,18.94,-41.59,27.15,-3.22,-0.08,5,991.19,46.723,46.16788,15.859892,888.75,NaN,,4.79,15.161324,16.8,16 / 22,3006,2022-08-04 09:03:37:981
0.9093,1.5188,11.5555,0.5174,0.482,9.7811,-0.7074,-0.1551,-3.6059,0.143,-0.6057,-0.0812,25550.979,-6.15,19.29,-41.62,10.16,-2.82,-3.03,5,991.26,43.265,46.1679,15.859887,893.74,NaN,,4.75,14.845797,1.6,16 / 23,3506,2022-08-04 09:03:38:481
-1.8604,-0.3045,12.5384,0.3015,0.7997,9.7693,0.3289,0.793,-3.2469,0.1317,0.0253,0.3875,26760.984,-8.61,19.52,-42.02,18.23,-4.68,-1.77,5,991.22,39.677,46.1679,15.859887,893.74,NaN,,4.75,14.845797,1.6,16 / 23,4006,2022-08-04 09:03:38:981
2.3587,0.3553,8.7523,0.3254,-0.4522,9.7908,-0.0144,0.1803,-2.2134,0.2091,-0.1293,-0.6145,29015.012,-6.39,22.41,-39.56,13.06,2.64,-1.9,5,991.28,40.677,46.16792,15.859898,908.03,NaN,,4.9,15.299619,8.6,17 / 24,4506,2022-08-04 09:03:39:481
