ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.7729,1.1677,6.8237,-0.1698,0.5826,9.7879,0.2743,-0.2485,-2.0826,0.1377,0.0923,0.1571,40441.008,-18.97,-19.61,-42.45,131.56,-3.41,0.99,5,988.34,46.058,46.168633,15.860093,872.73,NaN,,6.01,12.226105,110.8,13 / 22,14,2022-08-13 14:49:55:950
0.658,0.667,6.9547,-0.5436,0.3277,9.7861,0.5564,1.5988,-2.5928,-0.0321,0.0905,0.0832,40768.99,-17.38,-20.25,-42.43,135.99,0.45,3.64,5,988.37,52.928,46.168625,15.860112,870.66,NaN,,6.01,12.226105,113.7,13 / 22,513,2022-08-13 14:49:56:449
-0.9942,1.0098,6.4403,-0.9544,1.1739,9.6892,-0.185,-1.0099,3.5383,0.0117,0.7289,-0.0296,19605.982,-14.61,-22.18,-41.79,131.78,-6.87,5.63,5,988.38,48.377,46.168625,15.860112,870.66,NaN,,6.01,12.226105,113.7,13 / 22,1014,2022-08-13 14:49:56:950
0.3266,0.9852,5.8911,-0.5341,-0.1669,9.7907,0.7383,-0.6811,2.0842,-0.6673,0.5834,0.1199,41494.008,-16.35,-22.29,-42.24,141.18,0.98,3.12,5,988.42,55.361,46.168613,15.860125,868.39,NaN,,5.69,12.226105,122.5,Dec-24,1514,2022-08-13 14:49:57:450
-1.2018,-1.1623,8.5244,-0.6186,-1.0857,9.7267,1.5891,-1.0825,1.3216,0.3906,0.7763,0.0143,44761.008,-18.62,-14.74,-44.19,132.07,6.36,3.64,5,988.45,42.732,46.168613,15.860125,868.39,NaN,,5.69,12.226105,122.5,Dec-24,2013,2022-08-13 14:49:57:949
-1.2987,0.2883,8.7811,-0.5902,-0.9579,9.7419,-0.6801,0.8756,-0.3323,-0.3574,-0.3225,-0.399,46161.023,-12.96,-14.79,-45,137.04,2.52,3.55,5,988.45,50.353,46.1686,15.860141,867.14,NaN,,5.9,12.226105,125.1,13 / 24,2514,2022-08-13 14:49:58:450
-1.2371,-1.5691,7.9878,-1.6526,-0.774,9.6354,-1.2323,-1.271,2.403,-0.2149,0.0283,0.4147,47204.98,-11.12,-14.85,-45.36,134.78,4.53,9.73,5,988.45,50.796,46.1686,15.860141,867.14,NaN,,5.9,12.226105,125.1,13 / 24,3014,2022-08-13 14:49:58:950
-0.9392,-0.2034,6.5641,-0.8865,-0.7496,9.7377,-1.4275,-1.1204,3.6305,0.2506,-0.1826,-1.0333,46092.984,-10.87,-16.2,-44.59,142.09,4.38,5.2,5,988.5,42.508,46.16859,15.860157,865.28,NaN,,5.9,12.226105,125.5,14 / 24,3513,2022-08-13 14:49:59:449
-0.8883,-0.7699,9.548,-2.631,-0.8389,9.4098,-1.5258,-2.0203,2.1812,0.3876,0.2298,1.0213,48354.977,-8.78,-9.54,-46.84,122.58,4.91,15.62,5,988.54,56.48,46.16859,15.860157,865.28,NaN,,5.9,12.226105,125.5,14 / 24,4014,2022-08-13 14:49:59:950
1.133,-0.14,11.8732,0.3202,-0.4638,9.7904,-0.2945,0.0466,2.5513,-0.6663,-0.0541,-0.6417,41497.99,-12.39,-17.31,-44.04,147.3,-0.85,-1.96,5,988.55,58.28,46.168583,15.860173,865.11,NaN,,5.94,12.226105,131.2,14 / 25,4514,2022-08-13 14:50:00:450
