ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3852,-0.0915,14.3803,0.5429,1.363,9.6963,0.0788,-0.2141,-2.7781,0.7004,0.3034,0.117,6829.988,-1.39,18.94,-52.14,0.23,-2.53,-1.01,5,990.52,34.669,46.16783,15.859827,875.93,NaN,,5.94,12.226105,41.7,18 / 23,5,2022-07-21 15:36:13:948
1.1731,2.6351,12.1214,0.2984,1.7911,9.6371,0.5372,-0.0193,-1.4879,0.0959,0.1279,-0.2583,20186.012,-4.56,18.83,-51.24,10.52,-7,-0.38,5,990.52,32.321,46.167847,15.859839,875.46,NaN,,5.44,12.226105,38,18 / 23,505,2022-07-21 15:36:14:448
-1.788,1.3902,11.7829,0.1354,1.4587,9.6966,0.3048,1.2294,-3.162,0.3501,-0.114,0.2502,6893.0327,-9.23,16.44,-51.21,19.48,-8.55,-0.8,5,990.54,33.189,46.167847,15.859839,875.46,NaN,,5.44,12.226105,38,18 / 23,1005,2022-07-21 15:36:14:948
2.3731,1.9543,10.3143,-0.6343,1.274,9.7028,0.6181,0.4691,-3.1061,0.162,0.1039,0.5792,7128.001,-3.38,19.8,-52.11,13.53,-7.46,3.74,5,990.54,49.97,46.167854,15.859851,876.2,NaN,,5.72,12.226105,37.1,18 / 23,1506,2022-07-21 15:36:15:449
-0.7615,2.4688,7.2568,-0.913,0.525,9.7499,-0.3033,1.6554,-1.8858,0.3894,0.1326,0.4313,6634.9805,3.11,22.69,-51.77,4.33,0.25,5.2,5,990.54,59.27,46.167854,15.859851,876.2,NaN,,5.72,12.226105,37.1,18 / 23,2005,2022-07-21 15:36:15:948
-0.2907,1.9406,8.2265,-1.278,1.0403,9.6672,1.182,0.5988,-3.1663,0.2872,-0.0322,0.0262,6677.9775,-3.21,20.91,-52.56,22.44,-3.47,7.58,5,990.57,57.289,46.167873,15.859862,878.15,NaN,,5.65,12.226105,35.2,19 / 22,2505,2022-07-21 15:36:16:448
-1.2443,2.522,6.652,-0.6041,0.4642,9.777,-0.427,1.0066,2.2313,0.3354,0.1166,0.1504,6633.968,-0.49,20.68,-52.46,7.79,-2.71,3.54,5,990.58,26.72,46.167873,15.859862,878.15,NaN,,5.65,12.226105,35.2,19 / 22,3005,2022-07-21 15:36:16:948
-0.015,1.3675,8.5107,0.3182,1.2308,9.7239,-1.003,-0.3902,-0.4143,-0.4355,-0.3443,0.3299,65185.023,-2.94,19.65,-51.04,2.9,-7.21,-1.87,5,990.58,61.874,46.167885,15.859869,877.79,NaN,,4.72,12.226105,26.3,19 / 22,3505,2022-07-21 15:36:17:448
0.1501,2.7039,8.2558,-0.0787,0.8355,9.7707,-0.7537,0.9671,-0.7557,-0.049,0.2014,0.5075,6920.0327,-3.66,20.68,-50.42,7.43,-6.77,-0.59,5,990.61,11.862,46.167885,15.859869,877.79,NaN,,4.72,12.226105,26.3,19 / 22,4007,2022-07-21 15:36:17:950
0.8189,1.3334,8.1799,-0.3187,0.8137,9.7676,0.5947,0.6866,0.3856,0.06,0.1029,0.5208,62281.984,-6.66,19.61,-50.89,19.33,-7.77,2.65,5,990.62,32.003,46.167896,15.859874,877.42,NaN,,5.33,12.226105,22.3,19 / 22,4505,2022-07-21 15:36:18:448
0.4391,2.33,7.9196,-0.4772,0.0889,9.7946,-0.4211,-1.0853,1.8039,0.0467,0.2446,0.0535,47835.023,-2.19,22.41,-49.97,11.16,-0.52,2.79,5,990.63,17.641,46.167896,15.859874,877.42,NaN,,5.33,12.226105,22.3,19 / 22,5005,2022-07-21 15:36:18:948
-2.4191,1.8712,7.9944,-2.1419,1.0094,9.5165,-1.5949,-1.6758,1.8656,-0.1126,-0.1208,0.0343,49359.984,10.93,25.97,-50.79,0.86,-5.91,12.68,5,990.71,35.079,46.167908,15.859876,877.73,NaN,,5.36,12.226105,8.8,19 / 22,5505,2022-07-21 15:36:19:448
-1.8425,1.7587,8.0315,-1.9268,-0.0716,9.6152,-0.6109,0.3416,2.4536,-0.4795,-0.442,-0.1502,16305.03,10.03,24.49,-51.64,357.57,-6.54,9.51,5,990.59,48.105,46.167908,15.859876,877.73,NaN,,5.36,12.226105,8.8,19 / 22,6005,2022-07-21 15:36:19:948
-0.8512,-0.8273,9.7005,-1.0061,0.2968,9.7504,1.5654,-0.7644,2.7162,-0.0045,-0.4066,0.1941,6531.0303,7.8,27.13,-51.06,4.39,-4.34,11.54,5,990.82,32.408,46.16792,15.859874,876.67,NaN,,5.18,12.226105,358,19 / 22,6505,2022-07-21 15:36:20:448
-0.0861,4.4297,10.9167,-0.3871,2.1574,9.5586,2.276,-1.2732,4.5334,-1.1472,-1.1736,-0.5313,6099.0303,12.9,22.91,-52.63,342.41,-12.71,2.32,5,990.62,21.399,46.16792,15.859874,876.67,NaN,,5.18,12.226105,358,19 / 22,7005,2022-07-21 15:36:20:948
-1.0379,1.2784,14.0602,-0.0601,2.6087,9.4531,-0.4341,-0.3085,2.2116,-0.8958,-0.3396,0.0332,7082.9775,2.78,17.08,-53.66,355.06,-15.43,0.36,5,990.59,27.857,46.167934,15.859869,875.87,NaN,,5.4,12.226105,350.3,19 / 22,7504,2022-07-21 15:36:21:447
1.3286,3.6431,9.1023,0.7484,2.7091,9.3953,0.2179,-1.1646,3.7017,-0.1942,-0.2188,-0.81,6493.9727,6.45,19.39,-53.59,346.66,-18.75,-2.51,5,990.66,21.65,46.167934,15.859869,875.87,NaN,,5.4,12.226105,350.3,19 / 22,8005,2022-07-21 15:36:21:948
2.4006,2.4921,13.218,-0.4416,2.1964,9.5473,1.2115,0.1667,2.4152,-0.8115,0.1517,0.6726,6459.008,1.99,18.04,-52.2,0.53,-15.38,2.52,5,990.65,19.637,46.16795,15.859866,876.6,NaN,,5.22,12.226105,356.1,19 / 22,8504,2022-07-21 15:36:22:447
-1.3047,1.0546,15.2973,0.9547,3.4629,9.1251,-0.2744,-0.8858,-0.7409,-0.2747,-0.4543,-0.7051,6234.975,-1.33,15.69,-53.25,352.34,-20.68,-5.97,5,990.67,-5.855,46.16795,15.859866,876.6,NaN,,5.22,12.226105,356.1,19 / 22,9005,2022-07-21 15:36:22:948
-1.2401,1.2335,10.2808,-1.4815,1.1981,9.6198,-1.1628,-0.4743,-1.2057,0.039,0.4423,1.335,6702.008,-7.39,19.71,-51.19,29.57,-7.02,8.76,5,990.72,37.881,46.16796,15.859863,876.84,NaN,,5.26,12.226105,350.7,19 / 22,9505,2022-07-21 15:36:23:448
0.9667,-1.0415,11.3109,0.235,1.4885,9.6902,1.376,-1.2828,0.8152,1.0297,1.3001,-1.018,6786.99,5.25,26.72,-50.68,341.39,-6.22,-6.64,5,990.74,52.54,46.16796,15.859863,876.84,NaN,,5.26,12.226105,350.7,19 / 22,10005,2022-07-21 15:36:23:948
0.1819,1.0391,14.4395,-0.3714,1.6701,9.6563,0.6743,-0.0672,1.5544,-0.3507,-1.1787,0.6568,8210.025,3.23,18,-51.96,18.35,-10.03,13.08,5,990.72,50.965,46.167976,15.85986,877.08,NaN,,5.26,12.226105,349.3,19 / 22,10505,2022-07-21 15:36:24:448
-1.4806,1.4148,10.5894,-1.7833,1.6297,9.5044,0.6013,0.0971,-4.5411,0.1005,0.4426,-0.1504,14052.016,8.53,22.8,-51.47,1.02,-9.57,10.63,5,990.77,17.127,46.167976,15.85986,877.08,NaN,,5.26,12.226105,349.3,19 / 22,11005,2022-07-21 15:36:24:948
-1.608,0.719,7.4764,-1.1077,0.3509,9.7376,-0.1713,1.232,-2.2695,0.659,0.0277,0.1706,16548.977,5.64,26.53,-49.54,359.38,-2.05,6.49,5,990.75,22.671,46.167988,15.859856,876.57,NaN,,5.26,12.226105,355,19 / 22,11506,2022-07-21 15:36:25:449
-0.53,2.4365,6.0808,-1.239,1.4982,9.612,1.3764,0.0392,-2.5059,0.2447,0.1222,0.0551,6448.0054,9.21,24.56,-50.27,356.05,-5.36,7.9,5,990.76,19.51,46.167988,15.859856,876.57,NaN,,5.26,12.226105,355,19 / 22,12005,2022-07-21 15:36:25:948
-1.9573,0.9595,10.3693,-0.5263,0.5051,9.7795,-1.3629,0.7448,-2.4626,0.3205,0.2377,0.2202,6741.0234,8.42,24.64,-51.09,344.55,0.32,1.31,5,990.75,27.696,46.168,15.859852,874.54,NaN,,4.82,12.226105,350.1,19 / 22,12505,2022-07-21 15:36:26:448
-1.4171,2.4329,4.6038,-1.472,1.6385,9.5561,1.4493,-0.2672,-3.7599,0.5973,0.7904,0.5049,6126.0303,18.6,25.67,-50.63,342.31,-9.62,8.76,5,990.78,25.754,46.168,15.859852,874.54,NaN,,4.82,12.226105,350.1,19 / 22,13005,2022-07-21 15:36:26:948
-1.453,0.0945,8.8499,-0.0561,-1.3439,9.714,-1.0103,1.7701,-1.9814,-0.0383,1.0054,0.3822,6752.0254,8.19,27.77,-48.81,339.84,7.88,0.33,5,990.82,25.175,46.168015,15.859849,873.78,NaN,,4.93,12.226105,353.8,19 / 22,13505,2022-07-21 15:36:27:448
-1.4297,1.5571,6.8291,-1.7997,0.9288,9.5952,-0.9768,0.9212,-4.0185,-0.2586,-0.9909,0.4517,8528.018,18.21,28.91,-48.62,343.92,-4.27,9.75,5,990.8,27.902,46.168015,15.859849,873.78,NaN,,4.93,12.226105,353.8,19 / 22,14005,2022-07-21 15:36:27:948
-1.4106,2.8828,6.7508,0.3424,-0.0227,9.8006,0.5402,-1.8338,1.1248,-0.2885,0.4476,0.1071,82336.98,10.58,26.94,-49.67,334.65,0.13,-2,5,990.82,24.102,46.168022,15.859846,872.57,NaN,,4.9,12.226105,351.3,19 / 22,14505,2022-07-21 15:36:28:448
0.4947,1.2245,6.661,-0.5827,4.00E-04,9.7893,0.7486,-0.5453,0.3717,0.3503,-0.2233,0.097,83470.98,13.22,26.49,-50.14,338.95,0,3.41,5,990.86,32.73,46.168022,15.859846,872.57,NaN,,4.9,12.226105,351.3,19 / 22,15005,2022-07-21 15:36:28:948
-0.9733,2.5304,7.2963,-0.0714,1.036,9.7515,0.2734,0.661,-0.8497,0.1425,0.021,-0.0797,78633.99,8.16,21.88,-52.89,344.52,-6.06,0.42,5,990.83,22.455,46.168037,15.859843,872.09,NaN,,4.86,12.226105,351.5,19 / 23,15505,2022-07-21 15:36:29:448
0.0682,0.6,8.0985,-0.1422,1.2791,9.7218,0.5773,-0.3529,-1.3914,-0.1046,0.9535,0.1041,76261.03,14.16,21.58,-52.93,336.65,-11.03,0.32,5,990.92,28.83,46.168037,15.859843,872.09,NaN,,4.86,12.226105,351.5,19 / 23,16005,2022-07-21 15:36:29:948
-2.6824,1.48,4.611,-0.8995,0.5314,9.7508,-1.4468,-0.9638,2.546,0.8508,0.6353,0.223,71267.984,20.36,23.87,-51.56,330.6,-3.11,5.27,5,990.85,24.024,46.16805,15.859839,872.08,NaN,,5.08,12.226105,350,18 / 22,16505,2022-07-21 15:36:30:448
0.7902,1.0672,9.0413,-4.4226,1.6575,8.5944,-1.2788,-0.6181,2.1339,-0.9284,0.3336,-0.2899,31715.012,32.72,23.08,-48.36,347.18,-9.73,27.23,5,990.82,27.79,46.16805,15.859839,872.08,NaN,,5.08,12.226105,350,18 / 22,17005,2022-07-21 15:36:30:948
0.0712,1.5637,7.9615,0.0121,1.6184,9.6722,-0.377,-0.6531,-0.0011,-2.0151,0.5365,0.1777,79549.02,20.51,19.48,-51.96,322.36,-9.5,-0.07,5,990.91,24.392,46.168064,15.859834,871.88,NaN,,5.08,12.226105,349.7,17 / 22,17505,2022-07-21 15:36:31:448
0.6036,1.2861,8.4263,-1.0511,1.5457,9.6269,0.5922,-0.2725,1.1012,-1.3421,0.3674,0.5188,80543.98,18.06,23.94,-51.96,341.68,-14.5,6.35,5,990.88,19.412,46.168064,15.859834,871.88,NaN,,5.08,12.226105,349.7,17 / 22,18005,2022-07-21 15:36:31:948
-1.1306,1.4883,9.6096,0.1447,2.0973,9.5787,0.9954,-0.1118,2.1538,-0.1113,-0.119,0.0481,80800,20.01,22.39,-52.74,327.59,-12.35,-0.87,5,990.99,18.244,46.16807,15.859829,871.63,NaN,,5.08,12.226105,350.2,17 / 22,18505,2022-07-21 15:36:32:448
1.7444,-2.7254,11.8654,0.3909,-0.34,9.793,0.3883,-1.8639,4.0704,0.1237,-1.8015,0.0636,83433.984,-8.31,73.95,-50.4,4.75,1.99,-2.29,5,990.81,14.123,46.16807,15.859829,871.63,NaN,,5.08,12.226105,350.2,17 / 22,19005,2022-07-21 15:36:32:948
2.4849,-0.5288,10.605,4.7686,0.2537,8.5654,0.102,-1.1842,4.8192,-0.0837,-1.253,-0.7825,68529.984,-1.28,96.49,-51.56,347.62,0.37,-24.92,5,990.91,22.106,46.168083,15.859823,871.08,NaN,,5.04,12.226105,348.7,17 / 23,19505,2022-07-21 15:36:33:448
2.8714,0.7597,12.8889,-0.2638,0.5447,9.788,-1.6679,-1.4811,5.8047,-0.5187,-0.0948,0.1648,70961,10.52,34.76,-33.3,338.35,-8.57,-8.17,5,991.02,38.303,46.168083,15.859823,871.08,NaN,,5.04,12.226105,348.7,17 / 23,20005,2022-07-21 15:36:33:948
3.6096,-0.8782,11.9019,0.4221,0.6165,9.7781,3.3291,-1.512,2.0897,0.3503,0.8028,-0.5693,83232.02,20.66,35.44,-32.25,325.96,-0.34,-5.1,5,990.91,20.633,46.168095,15.859818,869.75,NaN,,5.04,12.226105,348.5,17 / 23,20505,2022-07-21 15:36:34:448
